,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1019333690135076866,1019333690135076866,1531863064000.0,2018-07-17 14:31:04,-0800,,Grâce à vous @footikomik existe et s’impose!! #Merci à tous #instagood #caricature #lefootencaricatures #worldcup #statistique #Instagram #insight #concept de @teddyalainpossible / @teddyconcept1 et @bousiko /  https://t.co/lvDC7h7LBg #footikomik  https://t.co/o7oejyBh1T,fr,"['merci', 'instagood', 'caricature', 'lefootencaricatures', 'worldcup', 'statistique', 'instagram', 'insight', 'concept', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,2,14,https://twitter.com/Bousiko/status/1019333690135076866,['http://artwork.ht'],['https://pbs.twimg.com/media/DiVmlZVUYAAZrSU.jpg'],1,https://pbs.twimg.com/media/DiVmlZVUYAAZrSU.jpg,False,5,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018557490504626177,1018557490504626177,1531678004000.0,2018-07-15 11:06:44,-0800,,@footikomik #worldcupfinal #champion #championdumonde #France  #fifa #worldcup #russia2018 #picoftheday  @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @Artworkht @bousiko #footikomik  https://t.co/TSVzTSt0ce,und,"['worldcupfinal', 'champion', 'championdumonde', 'france', 'fifa', 'worldcup', 'russia2018', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,7,11,https://twitter.com/Bousiko/status/1018557490504626177,[],['https://pbs.twimg.com/media/DiKkojiUwAAFo51.jpg'],1,https://pbs.twimg.com/media/DiKkojiUwAAFo51.jpg,False,37,2,4,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018477069188173825,1018477069188173825,1531658830000.0,2018-07-15 05:47:10,-0800,,@footikomik #worldcupfinalcoundown #France #Croatia #fifa #worldcup #russia2018 #instagood #picoftheday @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @Artworkht @teddyconcept1 @bousiko #footikomik  https://t.co/433ZrRB52y,und,"['worldcupfinalcoundown', 'france', 'croatia', 'fifa', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,7,05,https://twitter.com/Bousiko/status/1018477069188173825,[],['https://pbs.twimg.com/media/DiJbfb7UcAAbkTt.jpg'],1,https://pbs.twimg.com/media/DiJbfb7UcAAbkTt.jpg,False,7,3,5,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1018266241436352514,1018266241436352514,1531608565000.0,2018-07-14 15:49:25,-0800,,@footikomik #63 Belgique 🇧🇪 vs Angleterre 🏴󠁧󠁢󠁥󠁮󠁧󠁿 2-0 #fifa #worldcup #russia2018 #instagood #picoftheday @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @Artworkht @bousiko #footikomik  https://t.co/5cMqvIdYnQ,fr,"['fifa', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,6,15,https://twitter.com/Bousiko/status/1018266241436352514,[],['https://pbs.twimg.com/media/DiGbvrSU0AAJgJF.jpg'],1,https://pbs.twimg.com/media/DiGbvrSU0AAJgJF.jpg,False,5,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1017965749451804678,1017965749451804678,1531536922000.0,2018-07-13 19:55:22,-0800,,@footikomik #worldcupfinal #France #Croatia #fifa #worldcup #russia2018 #picoftheday @sogenerhaiti @commeilfautsa @natcomht @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @Artworkht @teddyconcept1 @bousiko #footikomik #inspiration #Marvel #civilwar  https://t.co/sbIZUUqa3Q,und,"['worldcupfinal', 'france', 'croatia', 'fifa', 'worldcup', 'russia2018', 'picoftheday', 'footikomik', 'inspiration', 'marvel', 'civilwar']",[],108978658,108978658,Bousiko,Jerry Boursiquot,5,19,https://twitter.com/Bousiko/status/1017965749451804678,[],['https://pbs.twimg.com/media/DiCKctHVQAAnJEk.jpg'],1,https://pbs.twimg.com/media/DiCKctHVQAAnJEk.jpg,False,7,0,3,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1017956399794544640,1017956399794544640,1531534693000.0,2018-07-13 19:18:13,-0800,,@footikomik #LaFrance20ansplustard#fifa #worldcup #russia2018 #instagood #picoftheday @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @artwork.ht @teddyconcept1 @bousiko #footikomik  https://t.co/Ga36hyAHmf,in,"['worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,5,19,https://twitter.com/Bousiko/status/1017956399794544640,[],['https://pbs.twimg.com/media/DiCB8j0UYAAjraD.jpg'],1,https://pbs.twimg.com/media/DiCB8j0UYAAjraD.jpg,False,13,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1017570131722031104,1017570131722031104,1531442599000.0,2018-07-12 17:43:19,-0800,,@footikomik est supporté par Sogener #ads #worldcup #russia2018 #instagood #picoftheday #sponsor @teddyconcept1 @artworkht @teddyconcept @bousiko #footikomik  https://t.co/beMttndgwv,fr,"['ads', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'sponsor', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,4,17,https://twitter.com/Bousiko/status/1017570131722031104,[],['https://pbs.twimg.com/media/Dh8iozXVQAAevs7.jpg'],1,https://pbs.twimg.com/media/Dh8iozXVQAAevs7.jpg,False,3,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1016828001001136129,1016828001001136129,1531265661000.0,2018-07-10 16:34:21,-0800,,@footikomik #61 France 🇫🇷 vs Belgique 1-0 #fifa #worldcup #russia2018 #instagood #picoftheday  @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @Artworkht @teddyconcept @bousiko #footikomik  https://t.co/rwlE8lrAxy,fr,"['fifa', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,2,16,https://twitter.com/Bousiko/status/1016828001001136129,[],['https://pbs.twimg.com/media/Dhx_q93UcAAUiAl.jpg'],1,https://pbs.twimg.com/media/Dhx_q93UcAAUiAl.jpg,False,5,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1016825778636513280,1016825778636513280,1531265131000.0,2018-07-10 16:25:31,-0800,,@footikomik #60 Croatie 🇭🇷 vs Russie 🇸🇰 2(4)-2(3) #fifa #worldcup #russia2018 #instagood #picoftheday @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @Artworkht @bousiko #footikomik  https://t.co/UrBIdChGkp,fr,"['fifa', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,2,16,https://twitter.com/Bousiko/status/1016825778636513280,[],['https://pbs.twimg.com/media/Dhx9pprUcAAxBNh.jpg'],1,https://pbs.twimg.com/media/Dhx9pprUcAAxBNh.jpg,False,6,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1016792170131611648,1016792170131611648,1531257119000.0,2018-07-10 14:11:59,-0800,,@footikomik #59 Angleterre 🏴󠁧󠁢󠁥󠁮󠁧󠁿 vs Suede🇸🇪 2-0 #fifa #worldcup #russia2018 #instagood #picoftheday @sogenerhaiti @commeilfautsa @natcomht @bradrentacar_haiti @unitransferht @lenouvelliste @ticketmaghaiti @partyinginhaiti @teddykeser @artworkht @bousiko #footikomik  https://t.co/c9KaOKwglg,es,"['fifa', 'worldcup', 'russia2018', 'instagood', 'picoftheday', 'footikomik']",[],108978658,108978658,Bousiko,Jerry Boursiquot,2,14,https://twitter.com/Bousiko/status/1016792170131611648,[],['https://pbs.twimg.com/media/DhxfFbhUEAIi2UH.jpg'],1,https://pbs.twimg.com/media/DhxfFbhUEAIi2UH.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
