,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1147965632647856128,1147965632647856128,1562531309000.0,2019-07-07 13:28:29,-0800,,"When the US won the #WorldCup overnight, one packed Washington bar exploded in celebration.  It was the win they expected and which fans say was deserved, reports @jamesglenday  https://t.co/vz59AHUHgh",en,['worldcup'],[],16463397,16463397,BreakfastNews,News Breakfast,7,13,https://twitter.com/BreakfastNews/status/1147965632647856128,[],[],1,https://pbs.twimg.com/media/D-5kp6qU0AAGsWs.jpg,False,4,1,1,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018279341115912192,1018279341115912192,1531611688000.0,2018-07-14 16:41:28,-0800,,"The opening match of the 2018 #WorldCup Russia v Saudi Arabia was met with global outcry. Why? Millions of fans with #colourblindness couldn’t tell the difference between the red &amp; green jerseys.   Geoff Wilson suffers from the condition, but was only diagnosed in his twenties.  https://t.co/k3DV7V4U9k",en,"['worldcup', 'colourblindness']",[],16463397,16463397,BreakfastNews,News Breakfast,6,16,https://twitter.com/BreakfastNews/status/1018279341115912192,[],[],1,https://pbs.twimg.com/media/DiGnqNHVQAA-07f.jpg,False,4,3,3,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018261911178055680,1018261911178055680,1531607532000.0,2018-07-14 15:32:12,-0800,,Are French fans getting a little cocky ahead of the #WorldCup decider?  ABC's Franco-Australian football fanatic Albert Lecoanet certainly is...and it's all to do with one player's magic moustache.  https://t.co/EEHURTv3zV,en,['worldcup'],[],16463397,16463397,BreakfastNews,News Breakfast,6,15,https://twitter.com/BreakfastNews/status/1018261911178055680,[],[],1,https://pbs.twimg.com/media/DiGXzpbUYAEOx77.jpg,False,13,2,6,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017166881575223296,1017166881575223296,1531346457000.0,2018-07-11 15:00:57,-0800,,"""A picture says a thousand words.""  Europe correspondent @jamesglenday reports from an empty Hyde Park in London after Croatia knock out the #ThreeLions from the #WorldCup  https://t.co/WEuHbrPeR4",en,"['threelions', 'worldcup']",[],16463397,16463397,BreakfastNews,News Breakfast,3,15,https://twitter.com/BreakfastNews/status/1017166881575223296,[],[],1,https://pbs.twimg.com/media/Dh2z4huVQAA6PvE.jpg,False,10,3,5,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1011336819277852676,1011336819277852676,1529956462000.0,2018-06-25 12:54:22,-0800,,Today: Aussie singer-songwriter @GlennShorrock joins us + we chat Australia’s next #WorldCup match with fmr Matildas captain @Bubs_11. Watch:  https://t.co/MuI8axFbXm  https://t.co/M0gmB5kxLL,en,['worldcup'],[],16463397,16463397,BreakfastNews,News Breakfast,1,12,https://twitter.com/BreakfastNews/status/1011336819277852676,['http://ab.co/2nYkgCN'],['https://pbs.twimg.com/media/Dgj9bk0UcAAoWVF.jpg'],1,https://pbs.twimg.com/media/Dgj9bk0UcAAoWVF.jpg,False,2,3,2,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1009177136878350338,1009177136878350338,1529441553000.0,2018-06-19 13:52:33,-0800,,"How do you pick your #WorldCup favourites?  Is @georgie_tunny following her nose, or has she GOAT this all wrong? #PsychicGoat  https://t.co/O0fNVmRwf4",en,"['worldcup', 'psychicgoat']",[],16463397,16463397,BreakfastNews,News Breakfast,2,13,https://twitter.com/BreakfastNews/status/1009177136878350338,[],['https://pbs.twimg.com/media/DgFRLRAUwAANhg6.jpg'],1,https://pbs.twimg.com/media/DgFRLRAUwAANhg6.jpg,False,6,3,1,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1008176209530769409,1008176209530769409,1529202914000.0,2018-06-16 19:35:14,-0800,,Former @Socceroos skipper Paul Wade has his early Top 3 moments of the #WorldCup - what are yours?  https://t.co/OaF6OLtqTg,en,['worldcup'],[],16463397,16463397,BreakfastNews,News Breakfast,6,19,https://twitter.com/BreakfastNews/status/1008176209530769409,['https://twitter.com/ScottRollinson/status/1008172618514456576'],[],0,,False,3,0,1,https://twitter.com/ScottRollinson/status/1008172618514456576,worldcup OR worldcup2018,,,,,,,[],,,,
7,1007863168977158144,1007863168977158144,1529128279000.0,2018-06-15 22:51:19,-0800,,Squad goals @johanna_nic @abcAndrewG @ScottRollinson #AUSFRA #WorldCup  https://t.co/6fKVMaV60D,en,"['ausfra', 'worldcup']",[],16463397,16463397,BreakfastNews,News Breakfast,5,22,https://twitter.com/BreakfastNews/status/1007863168977158144,[],['https://pbs.twimg.com/tweet_video_thumb/DfymMnjUwAAyQGc.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DfymMnjUwAAyQGc.jpg,False,14,7,2,,worldcup OR worldcup2018,,,,,,,[],,,,
8,999507785074257920,999507785074257920,1527136200000.0,2018-05-23 21:30:00,-0800,,"""A shadow hangs over #WorldCup2018""   #MH17 families pen a scathing letter to Russia, reports @mjrowland68  https://t.co/wSVngvtT1I  https://t.co/LlyeUhMDdC",en,"['worldcup2018', 'mh17']",[],16463397,16463397,BreakfastNews,News Breakfast,3,21,https://twitter.com/BreakfastNews/status/999507785074257920,['https://ab.co/2GMiBsH'],['https://pbs.twimg.com/media/Dd7lmzUVAAIpDTF.jpg'],1,https://pbs.twimg.com/media/Dd7lmzUVAAIpDTF.jpg,False,6,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
9,999487974587883520,999487974587883520,1527131477000.0,2018-05-23 20:11:17,-0800,,"The #WorldCup2018 in Russia is ""under a shadow"" say the families of #MH17 victims, in a scathing open letter blaming Russia for the disaster. @mjrowland68 reports:  https://t.co/wSVngvchD8  https://t.co/8taWsFliZt",en,"['worldcup2018', 'mh17']",[],16463397,16463397,BreakfastNews,News Breakfast,3,20,https://twitter.com/BreakfastNews/status/999487974587883520,['https://ab.co/2GMiBsH'],['https://pbs.twimg.com/media/Dd7k9cmV0AAoLC-.jpg'],1,https://pbs.twimg.com/media/Dd7k9cmV0AAoLC-.jpg,False,2,3,2,,worldcup OR worldcup2018,,,,,,,[],,,,
