,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018965811581636609,1018965811581636609,1531775355000.0,2018-07-16 14:09:15,-0800,,Sport is so grotesque and corrupt. Sport is so wonderful and unifying. #WorldCup   https://t.co/mYPFsQ06la,en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,1,14,https://twitter.com/ChuckCulpepper1/status/1018965811581636609,['https://www.washingtonpost.com/news/soccer-insider/wp/2018/07/16/world-cup-and-russia-warranted-cynicism-soccer-fans-and-russians-rose-over-it-all/'],[],0,,False,60,3,19,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018573106871504896,1018573106871504896,1531681727000.0,2018-07-15 12:08:47,-0800,,A fantastic surprise interruption at the #WorldCup press conference . . .  https://t.co/fKGWek8nTp,en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,7,12,https://twitter.com/ChuckCulpepper1/status/1018573106871504896,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1018572618700554240/pu/img/_XcGucm878rpXB0O.jpg,False,945,9,237,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018266670660554752,1018266670660554752,1531608667000.0,2018-07-14 15:51:07,-0800,,"One of the best nights in the history of life on Earth was 12 July 1998, a Sunday, on the Champs Elysees. A similar night awaits either there or in Zagreb. #WorldCup #FRACRO   https://t.co/jw6V82Be20",en,"['worldcup', 'fracro']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,6,15,https://twitter.com/ChuckCulpepper1/status/1018266670660554752,['https://www.washingtonpost.com/sports/france-is-the-world-cup-power-in-final-vs-croatia-20-years-after-winning-it-as-underdog/2018/07/14/6e44198a-86f7-11e8-8553-a3ce89036c78_story.html'],[],0,,False,28,1,7,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1015724462354903041,1015724462354903041,1531002557000.0,2018-07-07 15:29:17,-0800,,"Way out here near the Kazakh border, they were a smallish number, but after these nutty 28 years, they launched into it — “God save our gracious Queen . . .” #England #WorldCup   https://t.co/yL07aYRZjj",en,"['england', 'worldcup']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,6,15,https://twitter.com/ChuckCulpepper1/status/1015724462354903041,['https://www.washingtonpost.com/news/soccer-insider/wp/2018/07/07/sweden-vs-england-2018-world-cup-quarterfinal/'],[],0,,False,8,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1015382881840107520,1015382881840107520,1530921118000.0,2018-07-06 16:51:58,-0800,,Won’t you take me to “Funkytown?” Sure. It’ll be this #WorldCup final.   https://t.co/3lF0NKbg8H,en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,5,16,https://twitter.com/ChuckCulpepper1/status/1015382881840107520,['https://www.washingtonpost.com/news/soccer-insider/wp/2018/07/06/brazil-vs-belgium-2018-world-cup-quarterfinal/'],[],0,,False,4,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1015327320654131211,1015327320654131211,1530907871000.0,2018-07-06 13:11:11,-0800,,In the last four World Cups Brazil has lost in three quarterfinals and would up wishing it were four #WorldCup,en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,5,13,https://twitter.com/ChuckCulpepper1/status/1015327320654131211,[],[],0,,False,0,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1015309494031659011,1015309494031659011,1530903621000.0,2018-07-06 12:00:21,-0800,,"In this funkiest of World Cups here, if Belgium can keep this 2-0 halftime lead on Brazil, or keep some other lead, there’ll be six nations left with two previous #WorldCup wins between the whole lot of them",en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,5,12,https://twitter.com/ChuckCulpepper1/status/1015309494031659011,[],[],0,,False,5,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1015294543946764289,1015294543946764289,1530900057000.0,2018-07-06 11:00:57,-0800,,Almost underway in Kazan in one of those quarterfinals in life that should have come later in the bracket #WorldCup #Brazil #Belgium,en,"['worldcup', 'brazil', 'belgium']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,5,11,https://twitter.com/ChuckCulpepper1/status/1015294543946764289,[],[],0,,False,3,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1015264096864915456,1015264096864915456,1530892798000.0,2018-07-06 08:59:58,-0800,,"Count me among those who never guessed that with seven teams still left in the #WorldCup, the Spanish language would be all gone already, except for those impressive sorts who can speak it as a second or third or fourth.",en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,5,08,https://twitter.com/ChuckCulpepper1/status/1015264096864915456,[],[],0,,False,3,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1014577547156353032,1014577547156353032,1530729111000.0,2018-07-04 11:31:51,-0800,,"The world is going to continue to rotate and revolve even after either Sweden, Croatia, Russia or England appears in the #WorldCup final. That’s great news, because one of those will.   https://t.co/hA9w9KwCF4",en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,3,11,https://twitter.com/ChuckCulpepper1/status/1014577547156353032,['https://www.washingtonpost.com/sports/nationals/the-world-cup-final-will-include-one-of-these-teams--england-croatia-sweden-russia-really/2018/07/04/69a8acd0-7f8e-11e8-bb6b-c1cb691f1402_story.html'],[],0,,False,4,0,3,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1013822522423472132,1013822522423472132,1530549099000.0,2018-07-02 09:31:39,-0800,,Mexico manager Juan Carlos Osorio decries the referee allowing “for too many faking fouls.” #BRAMEX #WorldCup,en,"['bramex', 'worldcup']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,1,09,https://twitter.com/ChuckCulpepper1/status/1013822522423472132,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1013782163395837953,1013782163395837953,1530539477000.0,2018-07-02 06:51:17,-0800,,"If there's a stadium more alive than Samara Arena feels for #BRAMEX with kickoff approaching, I really would like to see it. My goose bumps are not yet Himalayan but definitely already Alpsian. #WorldCup",en,"['bramex', 'worldcup']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,1,06,https://twitter.com/ChuckCulpepper1/status/1013782163395837953,[],[],0,,False,8,1,3,,worldcup OR worldcup2018,,,,,,,[],,,,
12,1013524640814202880,1013524640814202880,1530478079000.0,2018-07-01 13:47:59,-0800,,There’s nothing in the world any more poignant than a crying Dane in the stands after penalties #WorldCup #DENCRO,en,"['worldcup', 'dencro']",[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,7,13,https://twitter.com/ChuckCulpepper1/status/1013524640814202880,[],[],0,,False,6,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
13,1013463165261221889,1013463165261221889,1530463422000.0,2018-07-01 09:43:42,-0800,,The winners of the last three World Cups are gone #WorldCup,en,['worldcup'],[],47318101,47318101,ChuckCulpepper1,Chuck Culpepper,7,09,https://twitter.com/ChuckCulpepper1/status/1013463165261221889,[],[],0,,False,9,1,13,,worldcup OR worldcup2018,,,,,,,[],,,,
