,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1019452404750798848,1019452404750798848,1531891368000.0,2018-07-17 22:22:48,-0800,,in my latest ASMR FOOTBALL video we ask where England lucky to get as far as they did at the world cup and we rate the players. #England #worldcup #asmr #asmrfootball #asmrmale   https://t.co/VtkcUeTzzC,en,"['england', 'worldcup', 'asmr', 'asmrfootball', 'asmrmale']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",2,22,https://twitter.com/HOW_DO_ITS_OLI/status/1019452404750798848,['https://youtu.be/Sh6zeGVh1C4'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018283329882329088,1018283329882329088,1531612639000.0,2018-07-14 16:57:19,-0800,,if you love football and asmr then this is for you. my youtube channel is dedicated to football and asmr. this is a prediction video for the world cup final. #asmr #WorldCup #WorldCupFinal #asmrfootball  #olisasmrworld   https://t.co/Ygcxku2Ib2,en,"['asmr', 'worldcup', 'worldcupfinal', 'asmrfootball', 'olisasmrworld']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",6,16,https://twitter.com/HOW_DO_ITS_OLI/status/1018283329882329088,['https://youtu.be/czmdmVzbqBY'],[],0,,False,3,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1017102663778033664,1017102663778033664,1531331146000.0,2018-07-11 10:45:46,-0800,,Good luck lads......come on england #ENG #WorldCup  https://t.co/q5uaAKFJri,en,"['eng', 'worldcup']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",3,10,https://twitter.com/HOW_DO_ITS_OLI/status/1017102663778033664,[],['https://pbs.twimg.com/tweet_video_thumb/Dh15ecmXUAoRkkW.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Dh15ecmXUAoRkkW.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1014252135796617221,1014252135796617221,1530651527000.0,2018-07-03 13:58:47,-0800,,"Finally we win a world cup penalty shootout....get in lads.....its coming home, its coming home, its coming, footballs coming home #WorldCup #ENG #SWESUI  https://t.co/wirLZI8MR3",en,"['worldcup', 'eng', 'swesui']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",2,13,https://twitter.com/HOW_DO_ITS_OLI/status/1014252135796617221,['https://twitter.com/FOXSoccer/status/1014250654787780608'],[],0,,False,1,1,0,https://twitter.com/FOXSoccer/status/1014250654787780608,worldcup OR worldcup2018,,,,,,,[],,,,
4,1014237417962917888,1014237417962917888,1530648018000.0,2018-07-03 13:00:18,-0800,,ffs geuss all that cheating paid off for #col giving then the time to equalise #ENGCOL #WorldCup  https://t.co/LbUyJVCsPd,en,"['col', 'engcol', 'worldcup']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",2,13,https://twitter.com/HOW_DO_ITS_OLI/status/1014237417962917888,[],['https://pbs.twimg.com/tweet_video_thumb/DhNLjJRW4AMtNNA.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DhNLjJRW4AMtNNA.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1014230288917024768,1014230288917024768,1530646319000.0,2018-07-03 12:31:59,-0800,,Never have i seen such dirty fuckers playing football #COLvENG #WorldCup #ENG  https://t.co/eqi9Lm6Jxv,en,"['colveng', 'worldcup', 'eng']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",2,12,https://twitter.com/HOW_DO_ITS_OLI/status/1014230288917024768,[],['https://pbs.twimg.com/tweet_video_thumb/DhNFDmgW0AEjjk_.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DhNFDmgW0AEjjk_.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1013556507491827712,1013556507491827712,1530485677000.0,2018-07-01 15:54:37,-0800,,Hell if england dont make the final then we are in for a poor final with one of these reaching it. #WorldCup #England #Russia2018  https://t.co/z0MYWiwJrJ,en,"['worldcup', 'england', 'russia2018']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",7,15,https://twitter.com/HOW_DO_ITS_OLI/status/1013556507491827712,['http://bleacherreport.com/post/world-football/d65c6c8a-08e3-492c-9aa8-f9a59bd0b120'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1013488980380344320,1013488980380344320,1530469577000.0,2018-07-01 11:26:17,-0800,,"#CRODEN the football fan in me wants croatia to win, the england fan in me is doing this and wants Denmark to win. #WorldCup  https://t.co/OjTYRSlpTi",en,"['croden', 'worldcup']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",7,11,https://twitter.com/HOW_DO_ITS_OLI/status/1013488980380344320,[],['https://pbs.twimg.com/tweet_video_thumb/DhCi2PYX4AEyWE-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DhCi2PYX4AEyWE-.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1013483855922323456,1013483855922323456,1530468355000.0,2018-07-01 11:05:55,-0800,,1-1 after 4 mins what's the odds on 15-15 after half hour #WorldCup #WorldCup2018 #mandzukic #jorgenson  https://t.co/kbkBxd3zho,en,"['worldcup', 'worldcup2018', 'mandzukic', 'jorgenson']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",7,11,https://twitter.com/HOW_DO_ITS_OLI/status/1013483855922323456,['https://twitter.com/FIFAWorldCup/status/1013477107828232192'],[],0,,False,2,0,0,https://twitter.com/FIFAWorldCup/status/1013477107828232192,worldcup OR worldcup2018,,,,,,,[],,,,
9,1013083163172667392,1013083163172667392,1530372822000.0,2018-06-30 08:33:42,-0800,,ronaldo is having a pre match celebration  watching messi and Co getting battered  #WorldCup #FRAARG #Ronaldo #Messi  https://t.co/EMa4CzdR4n,en,"['worldcup', 'fraarg', 'ronaldo', 'messi']",[],2725640139,2725640139,HOW_DO_ITS_OLI,"PINTS, PIES AND FAKE FOOTBALL SHIRTS",6,08,https://twitter.com/HOW_DO_ITS_OLI/status/1013083163172667392,[],['https://pbs.twimg.com/tweet_video_thumb/Dg8xw7VWsAETgaL.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Dg8xw7VWsAETgaL.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
