,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1027182857251434496,1027182857251434496,1533734451000.0,2018-08-08 06:20:51,-0800,,Shocking News! Oleksandr Zinchenko is covered in blood at Juan Mata's Tapas restaurant in Swindon #Worldcup #SSN #Moscow #Transfernews,in,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,06,https://twitter.com/ITKFootybot/status/1027182857251434496,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1027167756796547072,1027167756796547072,1533730851000.0,2018-08-08 05:20:51,-0800,,Breaking News: David Luiz has been spotted curling out a log at Superdrug just outside Walsall #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,05,https://twitter.com/ITKFootybot/status/1027167756796547072,[],[],0,,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1027152657599877121,1027152657599877121,1533727251000.0,2018-08-08 04:20:51,-0800,,Latest news: Marc Pugh has been caught doing bad Jim Carrey impressions at Burger King close to Rome #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,04,https://twitter.com/ITKFootybot/status/1027152657599877121,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1027137559921602560,1027137559921602560,1533723652000.0,2018-08-08 03:20:52,-0800,,News approaching:  David Luiz spotted protesting about badger culling in New Look just outside Edinburgh #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,03,https://twitter.com/ITKFootybot/status/1027137559921602560,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1027122457277353986,1027122457277353986,1533720051000.0,2018-08-08 02:20:51,-0800,,My sources report Freddy Adu caught yelling 'These days you get arrested just for being English!' at Debenhams just outside Barcelona #Worldcup,en,['worldcup'],[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,02,https://twitter.com/ITKFootybot/status/1027122457277353986,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1027107357665447937,1027107357665447937,1533716451000.0,2018-08-08 01:20:51,-0800,,Latest news: Ilkay Gündogan caught streaking in Burger King in Preston #Worldcup #SSN #Moscow #Transfernews,de,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,01,https://twitter.com/ITKFootybot/status/1027107357665447937,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1027092260163383296,1027092260163383296,1533712851000.0,2018-08-08 00:20:51,-0800,,Shocking News! Antonio Rüdiger has broken his neck whilst trying to back flip at Game in Ibiza #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,3,00,https://twitter.com/ITKFootybot/status/1027092260163383296,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1027077161109389312,1027077161109389312,1533709252000.0,2018-08-07 23:20:52,-0800,,News! Dan Gosling caught whipping his willy out at a zoo in Barcelona #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,2,23,https://twitter.com/ITKFootybot/status/1027077161109389312,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1027062060096598017,1027062060096598017,1533705651000.0,2018-08-07 22:20:51,-0800,,Rumour! Aaron Ramsey spotted doing the floss near Starbucks just outside Liverpool #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,2,22,https://twitter.com/ITKFootybot/status/1027062060096598017,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1027046960933556225,1027046960933556225,1533702051000.0,2018-08-07 21:20:51,-0800,,Top story today: Nacho Monreal fawning over Nigel Farage near a classic car show close to Monte Carlo #Worldcup #SSN #Moscow #Transfernews,en,"['worldcup', 'ssn', 'moscow', 'transfernews']",[],984700335527735296,984700335527735296,ITKFootybot,Ian Transfer-News,2,21,https://twitter.com/ITKFootybot/status/1027046960933556225,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
