,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018272081438441472,1018272081438441472,1531609957000.0,2018-07-14 16:12:37,-0800,,"It’s funny what you can get done with out #WorldCup or #LoveIsland/when can see out of both eyes. Finished handover doc, part of funding proposal, strategy draft for @doverartproject and first ever commissioned article. Now - to bed.",en,"['worldcup', 'loveisland']",[],99398822,99398822,Just_RichardB,Richard Brooks,6,16,https://twitter.com/Just_RichardB/status/1018272081438441472,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1017146398138077190,1017146398138077190,1531341573000.0,2018-07-11 13:39:33,-0800,,"“This is defeat for England. But it’s defeat with honour, defeat with hope.”  #WorldCup #ENGvCRO",en,"['worldcup', 'engvcro']",[],99398822,99398822,Just_RichardB,Richard Brooks,3,13,https://twitter.com/Just_RichardB/status/1017146398138077190,[],[],0,,False,23,0,8,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1017135413071368192,1017135413071368192,1531338954000.0,2018-07-11 12:55:54,-0800,,"Honestly though, no matter what happens in next 30 mins - immensely proud of this England team. Humble, hardworking, creative and likeable. Feel pride for my national team for first time in my life time. That’s coming home no matter what.  #WorldCup  #ENGvCRO",en,"['worldcup', 'engvcro']",[],99398822,99398822,Just_RichardB,Richard Brooks,3,12,https://twitter.com/Just_RichardB/status/1017135413071368192,[],[],0,,False,56,5,9,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017131216431087617,1017131216431087617,1531337954000.0,2018-07-11 12:39:14,-0800,,Mumma Brooks speaking for us all here. #ENGvCRO #WorldCup  https://t.co/G2O5YS8Vah,en,"['engvcro', 'worldcup']",[],99398822,99398822,Just_RichardB,Richard Brooks,3,12,https://twitter.com/Just_RichardB/status/1017131216431087617,[],['https://pbs.twimg.com/media/Dh2TcTNXcAED1Q3.jpg'],1,https://pbs.twimg.com/media/Dh2TcTNXcAED1Q3.jpg,False,5,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1017121321082408960,1017121321082408960,1531335594000.0,2018-07-11 11:59:54,-0800,,When you’re disappointed that England aren’t more than one goal ahead in a #WorldCup Semi-Final.  #ENGCRO  https://t.co/52pNvEZgUk,en,"['worldcup', 'engcro']",[],99398822,99398822,Just_RichardB,Richard Brooks,3,11,https://twitter.com/Just_RichardB/status/1017121321082408960,[],['https://pbs.twimg.com/tweet_video_thumb/Dh2Kb96XkAAFtW0.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/Dh2Kb96XkAAFtW0.jpg,False,3,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1017104145701003264,1017104145701003264,1531331499000.0,2018-07-11 10:51:39,-0800,,I think Anthony Joshua whistling ‘It’s Coming Home’ just made me pregnant. #WorldCup,en,['worldcup'],[],99398822,99398822,Just_RichardB,Richard Brooks,3,10,https://twitter.com/Just_RichardB/status/1017104145701003264,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1017101869112578054,1017101869112578054,1531330957000.0,2018-07-11 10:42:37,-0800,,"Oh my got the commentator on ITV’s #Worldcup coverage: “We all know it’s been a long, long time since England managed to get to a World Cup Semi-Final. Three years, to be exact. That’s when the women did it.  *Winks at camera*  #Hero",en,"['worldcup', 'hero']",[],99398822,99398822,Just_RichardB,Richard Brooks,3,10,https://twitter.com/Just_RichardB/status/1017101869112578054,[],[],0,,False,109,2,26,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1015661395227168769,1015661395227168769,1530987521000.0,2018-07-07 11:18:41,-0800,,"#ItsComingHome, but it might struggle to get there.  #WorldCup  https://t.co/4O8NFrB0Nx",en,"['itscominghome', 'worldcup']",[],99398822,99398822,Just_RichardB,Richard Brooks,6,11,https://twitter.com/Just_RichardB/status/1015661395227168769,[],['https://pbs.twimg.com/media/DhhapaIW4AEJ1tg.jpg'],1,https://pbs.twimg.com/media/DhhapaIW4AEJ1tg.jpg,False,10,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1015616862544121858,1015616862544121858,1530976903000.0,2018-07-07 08:21:43,-0800,,The most awaited finale trilogy since Return of the Jedi.  @Baddiel  #WorldCup  #ENDSWE  https://t.co/yvMz20MNh8,en,"['worldcup', 'endswe']",[],99398822,99398822,Just_RichardB,Richard Brooks,6,08,https://twitter.com/Just_RichardB/status/1015616862544121858,[],"['https://pbs.twimg.com/media/DhgyJrsXcAEXvDJ.jpg', 'https://pbs.twimg.com/media/DhgyJqwW0AEvfh-.jpg']",1,https://pbs.twimg.com/media/DhgyJrsXcAEXvDJ.jpg,False,2,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1015611705689243649,1015611705689243649,1530975674000.0,2018-07-07 08:01:14,-0800,,Revenge is a dish best served cold (unlike meatballs) #ENGSWE  #WorldCup  https://t.co/3whwmRQXna,en,"['engswe', 'worldcup']",[],99398822,99398822,Just_RichardB,Richard Brooks,6,08,https://twitter.com/Just_RichardB/status/1015611705689243649,[],['https://pbs.twimg.com/media/DhgtdK6XUAAkyWF.jpg'],1,https://pbs.twimg.com/media/DhgtdK6XUAAkyWF.jpg,False,13,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
