,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1283428973368631298,1283428973368631298,1594828286000.0,2020-07-15 08:51:26,-0800,,I can’t believe this was two years ago today. #WorldCup2018  https://t.co/qboeu2GVe5,en,['worldcup2018'],[],1259807215,1259807215,ManuelVeth,Manuel Veth,3,08,https://twitter.com/ManuelVeth/status/1283428973368631298,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1283428942645350401/pu/img/mRjiCZ61AZHF5dZm.jpg,False,15,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1216820847492493312,1216820847492493312,1578947672000.0,2020-01-13 12:34:32,-0800,,Done Deal! Jose Cifuentes joins #LAFC   The Ecuadorian was a star at last summer's U20 #WorldCup and will become the third most expensive signing in the club's history  For more check out my latest on @TMusa_news   https://t.co/ZBldkDlzLq,en,"['lafc', 'worldcup']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,1,12,https://twitter.com/ManuelVeth/status/1216820847492493312,['https://www.transfermarkt.us/jose-cifuentes-joins-lafc-third-most-expensive-signing-in-history/view/news/351872'],[],0,,False,11,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1216180541612912641,1216180541612912641,1578795011000.0,2020-01-11 18:10:11,-0800,,#LAFC are on the verge of signing yet another star from last summer's U-20 #WorldCup  For more check out my latest on @TMusa_news   https://t.co/Byyrk9YYze,en,"['lafc', 'worldcup']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,6,18,https://twitter.com/ManuelVeth/status/1216180541612912641,['https://www.transfermarkt.us/jose-cifuentes-to-lafc-third-most-expensive-signing-in-history-/view/news/351872'],[],0,,False,4,1,1,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1199764592181702656,1199764592181702656,1574881143000.0,2019-11-27 10:59:03,-0800,,"Amazing! Kicker reporting that there will be just eight days between the final #Bundesliga matchday of 2022 &amp; the opening game of the #WorldCup in Qatar. Germany won’t be the only country with problems, at this stage Boxing Day games in England will be almost impossible to stage.",en,"['bundesliga', 'worldcup']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,3,10,https://twitter.com/ManuelVeth/status/1199764592181702656,[],[],0,,False,42,10,12,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1188089150483750914,1188089150483750914,1572097501000.0,2019-10-26 06:45:01,-0800,,What a goal by Benjamin Pavard! A bit like the one he scored at the #WorldCup. But that defending by Gikiewicz.... #FCBFCU 1-0.,en,"['worldcup', 'fcbfcu']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,6,06,https://twitter.com/ManuelVeth/status/1188089150483750914,[],[],0,,False,3,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1181632890527875072,1181632890527875072,1570558209000.0,2019-10-08 11:10:09,-0800,,"#Bayern legend Bastian Schweinsteiger retires. 600 words on @IntChampionsCup hardly do a career justice that saw him win 8 #Bundesliga titles, the #ChampionsLeague and, of course, the #WorldCup with Germany and not #cf97 😉.  https://t.co/zxeU0ngOFI",en,"['bayern', 'bundesliga', 'championsleague', 'worldcup', 'cf97']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,2,11,https://twitter.com/ManuelVeth/status/1181632890527875072,['https://www.internationalchampionscup.com/en/articles/bastian-schweinsteiger-retires-fc-bayern-legend-calls-time-on-storied-career'],[],0,,False,10,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1158993902054957057,1158993902054957057,1565160653000.0,2019-08-06 23:50:53,-0800,,#ICYMI - I sat down with #WorldCup winner Lothar Matthäus to discuss #Bayern’s Alphonso Davies. Matthäus spoke on Davies’ role at #FCBayern heading into the new season and his thoughts on the #CanMNT star playing at left-back. Read it right HERE 👉 https://t.co/0sz3jRDemm  https://t.co/b5GyV2DDhg,en,"['icymi', 'worldcup', 'bayern', 'fcbayern', 'canmnt']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,2,23,https://twitter.com/ManuelVeth/status/1158993902054957057,['https://www.prosoccerusa.com/in-depth/lothar-matthaus-alphonso-davies-is-the-future-for-bayern-munich/'],['https://pbs.twimg.com/media/EBWSz4qU8AASdTy.jpg'],1,https://pbs.twimg.com/media/EBWSz4qU8AASdTy.jpg,False,10,1,2,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1147905822023749637,1147905822023749637,1562517049000.0,2019-07-07 09:30:49,-0800,,#NED just doing Dutch things in #WorldCup finals...,en,"['ned', 'worldcup']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,7,09,https://twitter.com/ManuelVeth/status/1147905822023749637,[],[],0,,False,5,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1142777192520151040,1142777192520151040,1561294289000.0,2019-06-23 05:51:29,-0800,,Former #DieMannschaft assistant coach Hansi Flick will join #Bayern this summer to assist Niko Kovac. Flick was a key member of Löw’s staff back in 2014 when Germany won the #WorldCup (kicker),en,"['diemannschaft', 'bayern', 'worldcup']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,7,05,https://twitter.com/ManuelVeth/status/1142777192520151040,[],[],0,,False,9,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1138545534724186113,1138545534724186113,1560285383000.0,2019-06-11 13:36:23,-0800,,"Leroy Sané has scored five goals in his last six games, including a beauty tonight. Cutting him from the #WorldCup squad may have been the only positive in 2018 for #DieMannschaft. He has been a different player for Germany since...  https://t.co/iRla02W1eI",en,"['worldcup', 'diemannschaft']",[],1259807215,1259807215,ManuelVeth,Manuel Veth,2,13,https://twitter.com/ManuelVeth/status/1138545534724186113,[],['https://pbs.twimg.com/media/D8ztHoEXYAAv9JO.jpg'],1,https://pbs.twimg.com/media/D8ztHoEXYAAv9JO.jpg,False,17,0,4,,worldcup OR worldcup2018,,,,,,,[],,,,
