,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018980608205312003,1018980608205312003,1531778883000.0,2018-07-16 15:08:03,-0800,,"Following an otherwise remarkable campaign for #FRA during the #worldcup, #Kante played below his personal standards on Sunday due to illness, yet the #French were able to overpower Zlatco Dalic's #Croatia and emerged 4-2 victors.  https://t.co/VDOm4OGfgS",en,"['fra', 'worldcup', 'kante', 'french', 'croatia']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,1,15,https://twitter.com/PhilPlanter/status/1018980608205312003,['https://www.90min.com/posts/6119047-france-star-n-golo-kante-played-world-cup-final-against-croatia-with-gastroenteritis-illness'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018938975304765441,1018938975304765441,1531768957000.0,2018-07-16 12:22:37,-0800,,#NZonzi urges France stars to let #Kante take picture with World Cup. Many in the squad who didn't kick a #worldcup ball were the first to mug for the camera with the trophy ahead of Kante as he stood aside and watched.  https://t.co/5Qa5VE0bht via  https://t.co/dcN2r3WZap,en,"['nzonzi', 'kante', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,1,12,https://twitter.com/PhilPlanter/status/1018938975304765441,"['https://dailym.ai/2L111YQ', 'http://dailym.ai/android']",[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018276427601457152,1018276427601457152,1531610993000.0,2018-07-14 16:29:53,-0800,,"#Kanté, #Lloris, #Varane, #Giroud: #France’s quiet driving force in World Cup #WorldCup   https://t.co/cTurpRsJjj",en,"['kanté', 'lloris', 'varane', 'giroud', 'france', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,6,16,https://twitter.com/PhilPlanter/status/1018276427601457152,['https://www.theguardian.com/football/2018/jul/14/kante-lloris-varane-giroud-france-quiet-driving-force-world-cup-final?CMP=Share_AndroidApp_Tweet'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017143692929458177,1017143692929458177,1531340928000.0,2018-07-11 13:28:48,-0800,,Are you talking about #Wimbledon or the #WorldCup ?  https://t.co/NzosIzAHfZ,en,"['wimbledon', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,13,https://twitter.com/PhilPlanter/status/1017143692929458177,['https://twitter.com/Simona_Halep/status/1017134089638473730'],[],0,,False,0,0,0,https://twitter.com/Simona_Halep/status/1017134089638473730,worldcup OR worldcup2018,,,,,,,[],,,,
4,1017143261809528832,1017143261809528832,1531340825000.0,2018-07-11 13:27:05,-0800,,"#ENG defenders have been been switching off periodically, starting in the late stages of the second half. #CRO take advantage and score their second goal. #WorldCup",en,"['eng', 'cro', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,13,https://twitter.com/PhilPlanter/status/1017143261809528832,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1017132597875544066,1017132597875544066,1531338283000.0,2018-07-11 12:44:43,-0800,,"At this point in the match #CRO seem to want it more. Lots of errors by #ENG defenders, who seem tired. #WorldCup",en,"['cro', 'eng', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,12,https://twitter.com/PhilPlanter/status/1017132597875544066,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1017116111723270144,1017116111723270144,1531334352000.0,2018-07-11 11:39:12,-0800,,#ENG have created enough opportunities to have had a second goal.  #WorldCup,en,"['eng', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,11,https://twitter.com/PhilPlanter/status/1017116111723270144,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1017109264672927744,1017109264672927744,1531332720000.0,2018-07-11 11:12:00,-0800,,What a way to score your first international goal for your country! The type of goal you dream about. Magnificent strike by #Trippier! #CRO 0-1 #ENG  #WorldCup,en,"['trippier', 'cro', 'eng', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,11,https://twitter.com/PhilPlanter/status/1017109264672927744,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1016953491670093824,1016953491670093824,1531295581000.0,2018-07-11 00:53:01,-0800,,"At this #WorldCup we have seen evidence of a more mature Paul Pogba playing for #FRA. Gone are the funky haircuts, colors and the showboating. We are finally seeing evidence of the player #MUFC thought they paid £90m for.  https://t.co/5DdXBSF6IK via  https://t.co/dcN2r3WZap",en,"['worldcup', 'fra', 'mufc']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,3,00,https://twitter.com/PhilPlanter/status/1016953491670093824,"['https://dailym.ai/2J8Qrtf', 'http://dailym.ai/android']",[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1016780961873309698,1016780961873309698,1531254446000.0,2018-07-10 13:27:26,-0800,,"Are we seeing a new, more mature Paul #Pogba emerging during this #WorldCup ? No hair cuts, no funky colors, no showboating! Just a more responsible, hard working, fantastic team-player for #FRA .  #PaulPogba",en,"['pogba', 'worldcup', 'fra', 'paulpogba']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,2,13,https://twitter.com/PhilPlanter/status/1016780961873309698,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1015625419620601856,1015625419620601856,1530978944000.0,2018-07-07 08:55:44,-0800,,#ENG are in the semi final of the 2018 #Worldcup after defeating #SWE 2-0 in the quarterfinal match.,en,"['eng', 'worldcup', 'swe']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,6,08,https://twitter.com/PhilPlanter/status/1015625419620601856,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1015621027764850688,1015621027764850688,1530977897000.0,2018-07-07 08:38:17,-0800,,"Take #Sterling off, bring #Rashford on!  #ENG  #Worldcup",en,"['sterling', 'rashford', 'eng', 'worldcup']",[],43428106,43428106,PhilPlanter,Excelsior! ⚽  🎾,6,08,https://twitter.com/PhilPlanter/status/1015621027764850688,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
