,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018504100151951360,1018504100151951360,1531665275000.0,2018-07-15 07:34:35,-0800,,【間もなく受付締切】#TrustNote が主催する #WorldCup 勝敗予想コンテストにて、決勝戦である #FRA 対 #CRO 戦の予想を受付中です。見事勝敗を的中された方には $TTT トークンをプレゼント中！応募はこちらにて →  https://t.co/hT6CVBytLJ #FRACRO #ワールドカップ #フランス #クロアチア  https://t.co/fFkynjXsnE,ja,"['trustnote', 'worldcup', 'fra', 'cro', 'fracro', 'ワールドカップ', 'フランス', 'クロアチア']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,7,07,https://twitter.com/RingNetworkORG/status/1018504100151951360,['https://buff.ly/2MYhvxp'],['https://pbs.twimg.com/media/DiJ0FMSXkAIopjc.jpg'],1,https://pbs.twimg.com/media/DiJ0FMSXkAIopjc.jpg,False,5,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018452989521035264,1018452989521035264,1531653089000.0,2018-07-15 04:11:29,-0800,,#TrustNote が主催する #WorldCup 勝敗予想コンテストにて、決勝戦である #FRA 対 #CRO 戦の予想を受付中です。見事勝敗を的中された方には $TTT トークンをプレゼント中！応募はこちらにて →  https://t.co/hT6CVBytLJ #FRACRO #ワールドカップ #フランス #クロアチア  https://t.co/VdWIERFOUw,ja,"['trustnote', 'worldcup', 'fra', 'cro', 'fracro', 'ワールドカップ', 'フランス', 'クロアチア']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,7,04,https://twitter.com/RingNetworkORG/status/1018452989521035264,['https://buff.ly/2MYhvxp'],['https://pbs.twimg.com/media/DiJFmJRUcAAyYVg.jpg'],1,https://pbs.twimg.com/media/DiJFmJRUcAAyYVg.jpg,False,7,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018281475718799360,1018281475718799360,1531612197000.0,2018-07-14 16:49:57,-0800,,"#WORLDCUP #FINAL! 🇫🇷#France 🆚 #Croatia🇭🇷 @FIFAWorldCup  But who will emerge victorious🏆?  https://t.co/cPjw6Z2j6f, the 1st #blockchain game🎮 on #TrustNote! Predictions end soon, your time to #predict &amp; #WIN $TTT!  #WorldCupFinal #CRO #FRA #sportsbet #winning #FREEPICK  https://t.co/pltgciO5cP",en,"['worldcup', 'final', 'france', 'croatia', 'blockchain', 'trustnote', 'predict', 'win', 'worldcupfinal', 'cro', 'fra', 'sportsbet', 'winning', 'freepick']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,6,16,https://twitter.com/RingNetworkORG/status/1018281475718799360,['http://2018worldcup.one'],['https://pbs.twimg.com/media/DiGnMOKVAAEMwgR.jpg'],1,https://pbs.twimg.com/media/DiGnMOKVAAEMwgR.jpg,False,8,0,4,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017912844841435136,1017912844841435136,1531524308000.0,2018-07-13 16:25:08,-0800,," https://t.co/cPjw6Z2j6f, the 1st #blockchain game🎮 on #TrustNote, is accepting prediction for the next match:  🇧🇪 #Belgium 🆚 #England 🏴󠁧󠁢󠁥󠁮󠁧󠁿  🏆 #WorldCup 3⃣place To those who will successfully predict a spectacular victory or defeat, #TTT will be your 🎁! @England  https://t.co/nZDFf9tGVa",en,"['blockchain', 'trustnote', 'belgium', 'england', 'worldcup', 'ttt']",[],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,5,16,https://twitter.com/RingNetworkORG/status/1017912844841435136,['http://2018worldcup.one'],['https://pbs.twimg.com/media/DiBZrgyU0AAH8Jn.jpg'],1,https://pbs.twimg.com/media/DiBZrgyU0AAH8Jn.jpg,False,7,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1016945323531370497,1016945323531370497,1531293633000.0,2018-07-11 00:20:33,-0800,," https://t.co/vr2VQOzXL6 , the 1st #blockchain game on #TrustNote, is accepting prediction for the next match: #England🏴󠁧󠁢󠁥󠁮󠁧󠁿🆚#Croatia🇭🇷 🏆 #WorldCup semi-final ⏰ 7pm BST To those who will successfully predict a spectacular victory or defeat, $TTT is gifted! @England  https://t.co/0P5RcXxxA0",en,"['blockchain', 'trustnote', 'england', 'croatia', 'worldcup']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,3,00,https://twitter.com/RingNetworkORG/status/1016945323531370497,['http://www.2018worldcup.one'],['https://pbs.twimg.com/media/DhzqTiMVQAAyRaJ.jpg'],1,https://pbs.twimg.com/media/DhzqTiMVQAAyRaJ.jpg,False,7,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1016621904415875072,1016621904415875072,1531216524000.0,2018-07-10 02:55:24,-0800,,#TrustNote が主催する #WorldCup 勝敗予想コンテストにて、次の試合 #France🇫🇷 対 #Belgium🇧🇪 戦の予想を受付中です。見事勝敗を的中された方には $TTT トークンをプレゼント中！応募はこちらにて →  https://t.co/hT6CVBytLJ  https://t.co/R0nzzBEVJl #FRA #BEL #FRA #FRABEL,ja,"['trustnote', 'worldcup', 'france', 'belgium', 'fra', 'bel', 'fra', 'frabel']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,2,02,https://twitter.com/RingNetworkORG/status/1016621904415875072,"['https://buff.ly/2MYhvxp', 'https://buff.ly/2zrV5D8']",[],0,,False,6,0,3,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1016572696119820290,1016572696119820290,1531204792000.0,2018-07-09 23:39:52,-0800,,"#FIFAWorldCup 2018 Semi-Final, #France🇫🇷 vs #Belgium🇧🇪 is coming soon! Tell  https://t.co/vr2VQOzXL6, what you think the score will be?  #Bonus pool is 1,810 $TTT, Good Luck 🍾😊 #WIN #TTT! #WorldCup2018 #worldcup #blockchain #BlockchainGame #betting #Bethereum  https://t.co/CXLs5oN6H3",en,"['fifaworldcup', 'france', 'belgium', 'bonus', 'win', 'ttt', 'worldcup2018', 'worldcup', 'blockchain', 'blockchaingame', 'betting', 'bethereum']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,1,23,https://twitter.com/RingNetworkORG/status/1016572696119820290,['http://www.2018worldcup.one'],['https://pbs.twimg.com/media/DhuXU0oUEAARUG-.jpg'],1,https://pbs.twimg.com/media/DhuXU0oUEAARUG-.jpg,False,5,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1015545984309481472,1015545984309481472,1530960005000.0,2018-07-07 03:40:05,-0800,,"#FIFAWorldCup 2018 Quarter-Final 4, #Russia vs #Croatia is coming soon, tell  https://t.co/h40bM6VSOu what you think the score will be?  #Bonus pool is 620 $TTT, Good Luck 🍾😊 #WIN #TTT! #WorldCup2018 #worldcup #blockchain #BlockchainGame #betting #Bethereum  https://t.co/gfg6dBan8f",en,"['fifaworldcup', 'russia', 'croatia', 'bonus', 'win', 'ttt', 'worldcup2018', 'worldcup', 'blockchain', 'blockchaingame', 'betting', 'bethereum']",['ttt'],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,6,03,https://twitter.com/RingNetworkORG/status/1015545984309481472,['http://buff.ly/2MYhvxp'],['https://pbs.twimg.com/media/DhfxsLXUEAAUl1h.jpg'],1,https://pbs.twimg.com/media/DhfxsLXUEAAUl1h.jpg,False,9,2,2,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1015534643703975936,1015534643703975936,1530957301000.0,2018-07-07 02:55:01,-0800,,"It's #Sweden🇸🇪 Vs #England🏴󠁧󠁢󠁥󠁮󠁧󠁿 today, tell  https://t.co/vr2VQOzXL6 what you think the #score will be? The bonus pool is 1211 $TTT, Good Luck 🍾😊 and #WIN $TTT! #FifaWorldCup2018 #worldcup #blockchain #BlockchainGame #betting #bethereum  https://t.co/KE7fGQGSuA",en,"['sweden', 'england', 'score', 'win', 'fifaworldcup2018', 'worldcup', 'blockchain', 'blockchaingame', 'betting', 'bethereum']","['ttt', 'ttt']",951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,6,02,https://twitter.com/RingNetworkORG/status/1015534643703975936,['http://www.2018worldcup.one'],['https://pbs.twimg.com/media/DhfmZXqV4AE5adS.jpg'],1,https://pbs.twimg.com/media/DhfmZXqV4AE5adS.jpg,False,9,2,1,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1015434080127614976,1015434080127614976,1530933325000.0,2018-07-06 20:15:25,-0800,,"🇸🇪vs🏴󠁧󠁢󠁥󠁮󠁧󠁿 and 🇷🇺vs🇭🇷,Who will be the #WINNER? Place your bets now 👉 https://t.co/cPjw6Z2j6f , the 1st #BlockchainGame released on #TrustNote! #WorldCup2018 #worldcup #blockchain #cryptonews #betting #bethereum #bitcoin #ethereum #cryptocurrency  https://t.co/RMPng2x5bh",en,"['winner', 'blockchaingame', 'trustnote', 'worldcup2018', 'worldcup', 'blockchain', 'cryptonews', 'betting', 'bethereum', 'bitcoin', 'ethereum', 'cryptocurrency']",[],951639177686167552,951639177686167552,RingNetworkORG,RingNetwork,5,20,https://twitter.com/RingNetworkORG/status/1015434080127614976,['http://2018worldcup.one'],['https://pbs.twimg.com/media/DheLyp-UwAAwu8m.jpg'],1,https://pbs.twimg.com/media/DheLyp-UwAAwu8m.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
