,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018280358276620293,1018280358276620293,1531611930000.0,2018-07-14 16:45:30,-0800,,Don't forget. Lets's watch the #WorldCup and chat about all things @CPLsoccer and #Mississauga.  Join us 👇  https://t.co/qVFGxurgTL,en,"['worldcup', 'mississauga']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,6,16,https://twitter.com/SaugaSG/status/1018280358276620293,['https://twitter.com/SaugaSG/status/1017156201677717505'],[],0,,False,6,0,4,https://twitter.com/SaugaSG/status/1017156201677717505,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018218562677301249,1018210113184620544,1531597197000.0,2018-07-14 12:39:57,-0800,,@CDN_Footy @namujyoon @CPLsoccer Send him our way! #WorldCup viewing party in Celebration Square tomorrow.,en,['worldcup'],[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,6,12,https://twitter.com/SaugaSG/status/1018218562677301249,[],[],0,,False,3,1,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'namujyoon', 'name': 'Namu Yoon', 'id': '65758634'}, {'screen_name': 'CPLsoccer', 'name': 'CanPL', 'id': '774010443023126533'}]",,,,
2,1017156201677717505,1017156201677717505,1531343910000.0,2018-07-11 14:18:30,-0800,,#WorldCup Viewing party. Come and join us! 📅 Sunday - 11AM 🗺️ Mississauga Celebration Square #WeAreMississauga #CanPL  #Mississauga #Soccer #Futebol  https://t.co/aAXohHRHNU,en,"['worldcup', 'wearemississauga', 'canpl', 'mississauga', 'soccer', 'futebol']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,3,14,https://twitter.com/SaugaSG/status/1017156201677717505,[],['https://pbs.twimg.com/media/Dh2qK0fUcAER2ER.jpg'],1,https://pbs.twimg.com/media/Dh2qK0fUcAER2ER.jpg,False,11,0,11,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017134537267187719,1017134537267187719,1531338745000.0,2018-07-11 12:52:25,-0800,,We'll be there Sunday! #WorldCup #Mississoccer  https://t.co/vkinwOC8dY,en,"['worldcup', 'mississoccer']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,3,12,https://twitter.com/SaugaSG/status/1017134537267187719,['https://twitter.com/BonnieCrombie/status/1017133345971433472'],[],0,,False,6,0,0,https://twitter.com/BonnieCrombie/status/1017133345971433472,worldcup OR worldcup2018,,,,,,,[],,,,
4,1013878279353389056,1013878279353389056,1530562393000.0,2018-07-02 13:13:13,-0800,,What. A. Match.👏🏻 #BEL #JPN #BELJPN #WorldCup  https://t.co/qfhb3MQZhF,en,"['bel', 'jpn', 'beljpn', 'worldcup']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,1,13,https://twitter.com/SaugaSG/status/1013878279353389056,[],['https://pbs.twimg.com/tweet_video_thumb/DhIE6tdW4AMdZBj.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DhIE6tdW4AMdZBj.jpg,False,5,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1012004812114690049,1012004812114690049,1530115724000.0,2018-06-27 09:08:44,-0800,,😮 #GER #KOR #KORGER #WorldCup  https://t.co/Xu9JshGyDK,und,"['ger', 'kor', 'korger', 'worldcup']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,3,09,https://twitter.com/SaugaSG/status/1012004812114690049,[],['https://pbs.twimg.com/tweet_video_thumb/DgtdAPzW0AA-nGc.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DgtdAPzW0AA-nGc.jpg,False,6,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1009892837431709696,1009892837431709696,1529612190000.0,2018-06-21 13:16:30,-0800,,So...party at Croatian Park? What a match! 😉 #CRO #WorldCup #Mississauga  https://t.co/SWtu6lgPYh,en,"['cro', 'worldcup', 'mississauga']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,4,13,https://twitter.com/SaugaSG/status/1009892837431709696,[],['https://pbs.twimg.com/tweet_video_thumb/DgPcLJMU0AA-7y0.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/DgPcLJMU0AA-7y0.jpg,False,7,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1007686279436226560,1007686279436226560,1529086105000.0,2018-06-15 11:08:25,-0800,,🇵🇹 vs. 🇪🇸 🙌🏻 #Mississauga #WorldCup  https://t.co/znh8025ZQJ,und,"['mississauga', 'worldcup']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,5,11,https://twitter.com/SaugaSG/status/1007686279436226560,[],"['https://pbs.twimg.com/media/DfwFUoFWkAAVC58.jpg', 'https://pbs.twimg.com/media/DfwFUoGXcAAt-0I.jpg']",1,https://pbs.twimg.com/media/DfwFUoFWkAAVC58.jpg,False,7,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1007658463961501696,1007658463961501696,1529079473000.0,2018-06-15 09:17:53,-0800,,Planning on taking in Portugal 🇵🇹 vs. Spain 🇪🇸 at Celebration Square? Kick off is at 2pm. We’ll see you there 😉 #Mississauga #WorldCup,en,"['mississauga', 'worldcup']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,5,09,https://twitter.com/SaugaSG/status/1007658463961501696,[],[],0,,False,5,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1006910427530326016,1006910427530326016,1528901128000.0,2018-06-13 07:45:28,-0800,,Marco once again dropping knowledge 🙌🏻 #CanPL #United2026 #WorldCup #Mississauga  https://t.co/GObep8YYi6,en,"['canpl', 'united2026', 'worldcup', 'mississauga']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,3,07,https://twitter.com/SaugaSG/status/1006910427530326016,['https://twitter.com/mollicola/status/1006875349982928898'],[],0,,False,6,0,1,https://twitter.com/mollicola/status/1006875349982928898,worldcup OR worldcup2018,,,,,,,[],,,,
10,1006872810835365888,1006869546253332481,1528892159000.0,2018-06-13 05:15:59,-0800,,@BonnieCrombie @FIFAWorldCup @CanadaSoccerEN Imagine a #CanPL soccer club of our own to go along with the festivities 😉  The time is now! For #Mississauga and for Canada! ☺️  #MississaugaMatters #CanadaRED #WorldCup #United2026,en,"['canpl', 'mississauga', 'mississaugamatters', 'canadared', 'worldcup', 'united2026']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,3,05,https://twitter.com/SaugaSG/status/1006872810835365888,[],[],0,,False,7,1,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'BonnieCrombie', 'name': 'Bonnie Crombie 🇨🇦', 'id': '442026896'}, {'screen_name': 'FIFAWorldCup', 'name': 'FIFA World Cup', 'id': '138372303'}, {'screen_name': 'CanadaSoccerEN', 'name': 'Canada Soccer', 'id': '103948050'}]",,,,
11,1004841349336707077,1004841349336707077,1528407821000.0,2018-06-07 14:43:41,-0800,,World Cup ⚽️ on the big screens in Celebration Square! There are few places better to catch the action.   We’ll see you there #Mississauga! ❤️  #WorldCup2018  https://t.co/0LSGukZxYv,en,"['mississauga', 'worldcup2018']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,4,14,https://twitter.com/SaugaSG/status/1004841349336707077,['https://twitter.com/johnkovac4/status/1004840419706851328'],[],0,,False,10,0,3,https://twitter.com/johnkovac4/status/1004840419706851328,worldcup OR worldcup2018,,,,,,,[],,,,
12,1002200031523303424,1002200031523303424,1527778082000.0,2018-05-31 07:48:02,-0800,,Everyone loves a good bracket challenge! Fill out yours and join in on the fun 😁  #WorldCup #Mississauga #CanPL #Sauga #CPL #WeAreMany #WeAreOne #WC2018  https://t.co/mm2SY7G5Pw,en,"['worldcup', 'mississauga', 'canpl', 'sauga', 'cpl', 'wearemany', 'weareone', 'wc2018']",[],876858172119678976,876858172119678976,SaugaSG,Sauga City Collective,4,07,https://twitter.com/SaugaSG/status/1002200031523303424,['https://twitter.com/robditta/status/1002199300590338049'],[],0,,False,4,0,0,https://twitter.com/robditta/status/1002199300590338049,worldcup OR worldcup2018,,,,,,,[],,,,
