,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1085947879527723009,1085947879527723009,1547745125000.0,2019-01-17 09:12:05,-0800,,@wingsforp You do realize that we have a once in a lifetime opportunity to possibly host the #WorldCup Final! The #txlege should take it seriously this session!,en,"['worldcup', 'txlege']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,4,09,https://twitter.com/TexSR_Tanner1/status/1085947879527723009,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1067896350006812673,1067852478685880320,1543441305000.0,2018-11-28 13:41:45,-0800,,"@TXSportsTech @TexasTribune No way, I would rather focus on them trying to bring the 2026 #WorldCup to Texas! This could be a once in a lifetime opportunity to bring really big games (QFS, SFS, maybe even the Final). @united2026",en,['worldcup'],[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,3,13,https://twitter.com/TexSR_Tanner1/status/1067896350006812673,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'TXSportsTech', 'name': 'TX Sports Tech', 'id': '2255277984'}, {'screen_name': 'TexasTribune', 'name': 'Texas Tribune', 'id': '44513878'}]",,,,
2,1019623636787974145,1019623636787974145,1531932193000.0,2018-07-18 09:43:13,-0800,,@NormsClubhouse What should the exception for the #USA be when we host the #WorldCup in 2026?,en,"['usa', 'worldcup']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,3,09,https://twitter.com/TexSR_Tanner1/status/1019623636787974145,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1019416335086964736,1019416335086964736,1531882768000.0,2018-07-17 19:59:28,-0800,,@UrinatingTree Can we get some soccer videos going. You forget to do any for the #WorldCup. Could we get a Haters Guide to the #EPL when the season starts next month.,en,"['worldcup', 'epl']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,2,19,https://twitter.com/TexSR_Tanner1/status/1019416335086964736,[],[],0,,False,0,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1019393964913422336,1019008796973322240,1531877435000.0,2018-07-17 18:30:35,-0800,,@funder The #WorldCup just ended! Imagine if the @ussoccer Head Coach or Team Superstar gave our game plan to opposing teams the day before the tournament begin. US Soccer would fire them in a new york minute. The same goes for the President! #ImpeachTrump,en,"['worldcup', 'impeachtrump']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,2,18,https://twitter.com/TexSR_Tanner1/status/1019393964913422336,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'funder', 'name': 'Scott Dworkin', 'id': '14247236'}]",,,,
5,1019064029573275648,1018876220480606208,1531798772000.0,2018-07-16 20:39:32,-0800,,"@cosmicfunpalace @ohJuliatweets @RobertB_Rice @cosmicfunpalace big for charities worldwide. Other billionaires like Bill Gates, Mark Zuckerberg, Warren Buffett, etc. have done far more and at far younger ages then Bezos has. Also, Mbappe is also looking to get other players to help donate their #WorldCup Earnings as well.",en,['worldcup'],[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,1,20,https://twitter.com/TexSR_Tanner1/status/1019064029573275648,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'cosmicfunpalace', 'name': 'Soozcat', 'id': '39457068'}, {'screen_name': 'ohJuliatweets', 'name': 'Julia Claire', 'id': '52961107'}, {'screen_name': 'RobertB_Rice', 'name': 'Robert Rice', 'id': '122295772'}]",,,,
6,1019050434164555776,1018944257451847680,1531795531000.0,2018-07-16 19:45:31,-0800,,@RangersJedi @EdwardEgrosFox4 Would rather get a big #WorldCup GM (especially QFS or later) then another Super Bowl.,en,['worldcup'],[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,1,19,https://twitter.com/TexSR_Tanner1/status/1019050434164555776,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1019046847745351680,1018552788714848258,1531794676000.0,2018-07-16 19:31:16,-0800,,@TheTweetOfGod We had the #WorldCup recently. You should've enjoyed the tournament more!,en,['worldcup'],[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,1,19,https://twitter.com/TexSR_Tanner1/status/1019046847745351680,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'TheTweetOfGod', 'name': 'God', 'id': '204832963'}]",,,,
8,1018979027649028101,1018863733441990656,1531778506000.0,2018-07-16 15:01:46,-0800,,@TehSmiithy More people in general. Your going to see more #WorldCup Players announce Charity Efforts from the #WorldCup coming up.,en,"['worldcup', 'worldcup']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,1,15,https://twitter.com/TexSR_Tanner1/status/1018979027649028101,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'TehSmiithy', 'name': 'Smithy__11', 'id': '402996995'}]",,,,
9,1018595493251862529,1018530136839385088,1531687064000.0,2018-07-15 13:37:44,-0800,,@EdwardEgrosFox4 @caotk Wanted #CRO so Bad! #WorldCup 🇭🇷,en,"['cro', 'worldcup']",[],2477561683,2477561683,TexSR_Tanner1,Tanner Wilson,7,13,https://twitter.com/TexSR_Tanner1/status/1018595493251862529,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'caotk', 'name': 'K-Twizzle', 'id': '25562750'}]",,,,
