,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1139012144861569024,1139012144861569024,1560396631000.0,2019-06-12 20:30:31,-0800,,"#CBS #CBS29 #KBAK #TAR31 #TheAmazingRace Last time #Croatia was in #sports #news, their men took part in the #WorldCup finals; they lost to #France.",en,"['cbs', 'cbs29', 'kbak', 'tar31', 'theamazingrace', 'croatia', 'sports', 'news', 'worldcup', 'france']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,3,20,https://twitter.com/TheGloriousSOB/status/1139012144861569024,[],[],0,,False,0,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1019157967168421888,1019157967168421888,1531821169000.0,2018-07-17 02:52:49,-0800,,"#ReallyLateTweet In #sports news, #France won the #WorldCup."" Oh I like France. Good 4 them. #FRA",en,"['reallylatetweet', 'sports', 'france', 'worldcup', 'fra']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,2,02,https://twitter.com/TheGloriousSOB/status/1019157967168421888,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018600819493441536,1018600819493441536,1531688334000.0,2018-07-15 13:58:54,-0800,,#FRA #Félicitations à la #France pour avoir remporté la #CoupeduMonde! Je suis aussi heureux de les avoir remportés cette année que je les ai regardés en 1998. #WorldCup #Fox58 #KBFX #Telemundo,fr,"['fra', 'félicitations', 'france', 'coupedumonde', 'worldcup', 'fox58', 'kbfx', 'telemundo']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018600819493441536,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1018599734032732160,1018599734032732160,1531688075000.0,2018-07-15 13:54:35,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  FIFA Fair Play Trophy:   🥇Spain (#ESP)   #WorldCup  https://t.co/bddj0fnyJ7  https://t.co/i4vyjyc9dL,en,"['esp', 'worldcup']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599734032732160,['https://twitter.com/FIFAWorldCup/status/1018547335213846529/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=TheGloriousSOB&utm_content=1018599714479005696'],['https://pbs.twimg.com/media/DiKbX8AXcAElhfK.jpg'],1,https://pbs.twimg.com/media/DiKbX8AXcAElhfK.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1018599704035127296,1018599704035127296,1531688068000.0,2018-07-15 13:54:28,-0800,,Retweeted HNS | CFF (@HNS_CFF):  ⚽️ #CRO captain @lukamodric10 is the best player of the 2018 @FIFAWorldCup in Russia! 👏 Congratulations to the #WorldCup Golden Ball winner!   #BeProud #Croatia #WorldCupFinal #Vatreni🔥  https://t.co/FoDcaAgqpe,en,"['cro', 'worldcup', 'beproud', 'croatia', 'worldcupfinal', 'vatreni']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599704035127296,[],['https://pbs.twimg.com/media/DiKbUvXXkAAhSEz.jpg'],1,https://pbs.twimg.com/media/DiKbUvXXkAAhSEz.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1018599635747684352,1018599635747684352,1531688052000.0,2018-07-15 13:54:12,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  😎  #WorldCup  https://t.co/NmF8gFgDr0  https://t.co/4iGgYLI2oi,en,['worldcup'],[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599635747684352,['https://twitter.com/FIFAWorldCup/status/1018551158053507073/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=TheGloriousSOB&utm_content=1018599618282545152'],['https://pbs.twimg.com/media/DiKexG6WsAI3msV.jpg'],1,https://pbs.twimg.com/media/DiKexG6WsAI3msV.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1018599516847595520,1018599516847595520,1531688024000.0,2018-07-15 13:53:44,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  #FRA are the raining/reigning #WorldCup champions!   Sorry/not sorry about that pun. ☔️  https://t.co/GhoZQIhNLC  https://t.co/DUsrjiJ27g,en,"['fra', 'worldcup']",[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599516847595520,['https://twitter.com/FIFAWorldCup/status/1018553474051690496/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=TheGloriousSOB&utm_content=1018599497302065152'],"['https://pbs.twimg.com/media/DiKgyJLWAAIM27j.jpg', 'https://pbs.twimg.com/media/DiKgyKHWAAA5Vxl.jpg', 'https://pbs.twimg.com/media/DiKgyJJXcAALULh.jpg']",1,https://pbs.twimg.com/media/DiKgyJLWAAIM27j.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1018599415487946753,1018599415487946753,1531687999000.0,2018-07-15 13:53:19,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  Here's where the story ends...   We hope you had fun!   #WorldCup  https://t.co/u7x81TLJlV  https://t.co/gXksVSZS5N,en,['worldcup'],[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599415487946753,['https://twitter.com/FIFAWorldCup/status/1018564931241893888/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=TheGloriousSOB&utm_content=1018599393417555969'],['https://pbs.twimg.com/media/DiKrRR0XkAAn9Qu.jpg'],1,https://pbs.twimg.com/media/DiKrRR0XkAAn9Qu.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1018599347091460097,1018599347091460097,1531687983000.0,2018-07-15 13:53:03,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  Not your usual press conference... 🤣  #WorldCup  https://t.co/v2uTJWxuZr  https://t.co/CL0m9Ny6Kb,en,['worldcup'],[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599347091460097,['https://twitter.com/FIFAWorldCup/status/1018581245477949440/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=TheGloriousSOB&utm_content=1018599329097867264'],['https://pbs.twimg.com/media/DiK6JoGW4AE2rU8.jpg'],1,https://pbs.twimg.com/media/DiK6JoGW4AE2rU8.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1018599305567821825,1018599305567821825,1531687973000.0,2018-07-15 13:52:53,-0800,,Retweeted FIFA World Cup (@FIFAWorldCup):  The moment ⭐️ became ⭐️⭐️!  @FrenchTeam // @equipedefrance // #WorldCup   📺 Highlights 👉  https://t.co/PAybZKdk3L  https://t.co/3b6yoPSfVr  https://t.co/PAybZKdk3L,en,['worldcup'],[],169353953,169353953,TheGloriousSOB,Keith Pangilinan,7,13,https://twitter.com/TheGloriousSOB/status/1018599305567821825,"['https://www.youtube.com/fifa', 'https://www.youtube.com/fifa']",[],1,https://pbs.twimg.com/media/DiKwleoW0AAnXwf.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
