,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018274345997815809,1018274345997815809,1531610497000.0,2018-07-14 16:21:37,-0800,,#WorldCup Not wishing to be a killjoy but let us not forget why we didn't Putin to have his Games!,en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,6,16,https://twitter.com/TheHon_Galahad/status/1018274345997815809,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018246472406654976,1018246472406654976,1531603851000.0,2018-07-14 14:30:51,-0800,,"#WorldCup England's tournament came to an end today, three losses in seven games, not exactly heroic, unless you are a Tottenham fan I suppose.",en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,6,14,https://twitter.com/TheHon_Galahad/status/1018246472406654976,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1017294615517585409,1017294615517585409,1531376911000.0,2018-07-11 23:28:31,-0800,,"Look on the bright side,  we don't have to hear how Tottenham won the #worldcup",en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,3,23,https://twitter.com/TheHon_Galahad/status/1017294615517585409,[],[],0,,False,0,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017149661499490305,1017149661499490305,1531342351000.0,2018-07-11 13:52:31,-0800,,Croatian Keeper didn't make a save in over two hours of play. That interview was the most we saw of Kane all night!  England will never get a better chance of winning the #WorldCup,en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,3,13,https://twitter.com/TheHon_Galahad/status/1017149661499490305,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1017148267979792386,1017148267979792386,1531342019000.0,2018-07-11 13:46:59,-0800,,Congratulations to #CRO the better team won on the night #WorldCup,en,"['cro', 'worldcup']",[],184170041,184170041,TheHon_Galahad,Paul,3,13,https://twitter.com/TheHon_Galahad/status/1017148267979792386,[],[],0,,False,1,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1015739051389878272,1015739051389878272,1531006036000.0,2018-07-07 16:27:16,-0800,,"#WorldCup The problem I have is when @bbc5live  start saying how great it is for Tottenham, I'm sorry that really burns me! Kane, Ali, Dier, Trippier, I just can't cheer them, sorry folks.",en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,6,16,https://twitter.com/TheHon_Galahad/status/1015739051389878272,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1015711165484355584,1015711165484355584,1530999387000.0,2018-07-07 14:36:27,-0800,,Congrats to #CRO #Eng #Fra #BEL the four best teams of the tournament in my opinion #WorldCup,en,"['cro', 'eng', 'fra', 'bel', 'worldcup']",[],184170041,184170041,TheHon_Galahad,Paul,6,14,https://twitter.com/TheHon_Galahad/status/1015711165484355584,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1014229293646450688,1014229293646450688,1530646081000.0,2018-07-03 12:28:01,-0800,,"Colombia are a complete disgrace, maybe they are hoping to get the match suspended by having 5 men sent off #WorldCup",en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,2,12,https://twitter.com/TheHon_Galahad/status/1014229293646450688,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1013863521866665985,1013863521866665985,1530558874000.0,2018-07-02 12:14:34,-0800,,This is one crazy arse #WorldCup,en,['worldcup'],[],184170041,184170041,TheHon_Galahad,Paul,1,12,https://twitter.com/TheHon_Galahad/status/1013863521866665985,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1013116338351599616,1013116338351599616,1530380732000.0,2018-06-30 10:45:32,-0800,,"#WorldCup Have to say, that #FRA performance was the best I've seen so far. #FRAARG  thankfully, that is the back of #ARG and the massively over-hyped Messi!",en,"['worldcup', 'fra', 'fraarg', 'arg']",[],184170041,184170041,TheHon_Galahad,Paul,6,10,https://twitter.com/TheHon_Galahad/status/1013116338351599616,[],[],0,,False,0,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
