,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018545797539827713,1018545797539827713,1531675216000.0,2018-07-15 10:20:16,-0800,,Seriously FIFA... How long does it take to handover a trophy? The match finished 30 mins ago. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,10,https://twitter.com/TonyHavaianas/status/1018545797539827713,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018541522768105473,1018541522768105473,1531674197000.0,2018-07-15 10:03:17,-0800,,Nailed it! Thank God it’s over!   My final record is below. Horrendous is an understatement.   #worldcup Tipping: 29/64 #worldcup Correct Scores: 5/64  https://t.co/MHm9JeGkqQ,en,"['worldcup', 'worldcup']",[],728027712,728027712,TonyHavaianas,Tony,7,10,https://twitter.com/TonyHavaianas/status/1018541522768105473,['https://twitter.com/tonyhavaianas/status/1018434560797753345'],[],0,,False,0,0,0,https://twitter.com/tonyhavaianas/status/1018434560797753345,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018537266312982534,1018537266312982534,1531673182000.0,2018-07-15 09:46:22,-0800,,Stat. #worldcupfinal #worldcup #FRACRO  https://t.co/ONk7Q2WMl4,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018537266312982534,['https://twitter.com/optajoe/status/1018537045931720704'],[],0,,False,0,0,0,https://twitter.com/optajoe/status/1018537045931720704,worldcup OR worldcup2018,,,,,,,[],,,,
3,1018536064548368384,1018536064548368384,1531672895000.0,2018-07-15 09:41:35,-0800,,I can’t work out whether France aren’t trying to get the ball off Croatia or whether they’re simply unable to. Such a strange match. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018536064548368384,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1018532869059194881,1018532869059194881,1531672134000.0,2018-07-15 09:28:54,-0800,,LOL at Lloris! 4-2 now. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018532869059194881,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1018532016856301569,1018532016856301569,1531671930000.0,2018-07-15 09:25:30,-0800,,And now Mbappe makes it 4. Not sure why Subasic didn’t dive but it doesn’t really matter. France lead 4-1 now. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018532016856301569,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1018530391433461760,1018530391433461760,1531671543000.0,2018-07-15 09:19:03,-0800,,Pogba has the 3rd and the tournament belongs to France. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018530391433461760,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1018530186424250368,1018530186424250368,1531671494000.0,2018-07-15 09:18:14,-0800,,I wish Lovren played as well for #LFC as he does for Croatia! #worldcup #worldcupfinal #FRACRO,en,"['lfc', 'worldcup', 'worldcupfinal', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018530186424250368,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1018529252369547264,1018529252369547264,1531671271000.0,2018-07-15 09:14:31,-0800,,"Deschamps might be costing his nation the #worldcup with this substitution. Irrespective of the first half yellow card, this team’s formation relies upon Kante. #worldcupfinal #FRACRO",en,"['worldcup', 'worldcupfinal', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018529252369547264,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1018528900731756544,1018528900731756544,1531671187000.0,2018-07-15 09:13:07,-0800,,Well done Mbappe for not going to ground at the slightest nudge in the box from Vida. Unlucky not to finish it. #worldcupfinal #worldcup #FRACRO,en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018528900731756544,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1018526820201738240,1018526820201738240,1531670691000.0,2018-07-15 09:04:51,-0800,,"And, aside from the actual laws of the game, the biggest criteria of whether it’s a penalty or not is “if it happened against your side in a cup final would you be arguing FOR a penalty?” 100% you would be. It was a penalty. #worldcupfinal #worldcup #FRACRO",en,"['worldcupfinal', 'worldcup', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018526820201738240,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1018526202292662272,1018526202292662272,1531670544000.0,2018-07-15 09:02:24,-0800,,I don’t understand the calls that “the referee got it wrong”. Perisic handled the ball in the box. It’s a penalty. The referee was spot on.  Croatia have 45 mins to make amends now or they’re going to end the tournament as runners up. #worldcup #worldcupfinal #FRACRO,en,"['worldcup', 'worldcupfinal', 'fracro']",[],728027712,728027712,TonyHavaianas,Tony,7,09,https://twitter.com/TonyHavaianas/status/1018526202292662272,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
