,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018282169809203200,1018282169809203200,1531612362000.0,2018-07-14 16:52:42,-0800,,This was more entertaining than England entire #WorldCup display.  https://t.co/KEGxUHEimR,en,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,16,https://twitter.com/amennotoe/status/1018282169809203200,['https://twitter.com/GaryLineker/status/1018093533323038720'],[],0,,False,0,0,0,https://twitter.com/GaryLineker/status/1018093533323038720,worldcup OR worldcup2018,,,,,,,[],,,,
1,1017490588634107906,1017490588634107906,1531423635000.0,2018-07-12 12:27:15,-0800,,"I think it says volume of the Nigeria senior team that the team that struggle to win us, while we played our worst football while they were at their best is heading to the Final.   I'm hopeful for the next world cup #WorldCup 2022..",en,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,12,https://twitter.com/amennotoe/status/1017490588634107906,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1015307880893943808,1015307880893943808,1530903236000.0,2018-07-06 11:53:56,-0800,,"That brother is underrated and undervalued.  First he's not from a power nation He's not english He's a big man He plays for Manchester united And to make matter worst, his coach is Mou.  His case is critical   #WorldCup  #BRABEL  https://t.co/VwqH2Gy8ip",en,"['worldcup', 'brabel']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1015307880893943808,['https://twitter.com/AtolagbeBO/status/1015303132711211009'],[],0,,False,0,0,0,0,worldcup OR worldcup2018,,,,,,,[],,,,
3,1013873905218539521,1013873905218539521,1530561350000.0,2018-07-02 12:55:50,-0800,,"Courtois, and Lukaku scored that goal. #BELJPN #WorldCup",en,"['beljpn', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,1,12,https://twitter.com/amennotoe/status/1013873905218539521,[],[],0,,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1013155496038191111,1013155496038191111,1530390068000.0,2018-06-30 13:21:08,-0800,,At least Ronaldo The GOAT was eliminated by a 31 year old man not one 19 year boy like some people. The brother may still be a Virgin.   I'm just saying. #URUPOR #worldcup  https://t.co/r5Lg2D4Z4M,en,"['urupor', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,13,https://twitter.com/amennotoe/status/1013155496038191111,[],['https://pbs.twimg.com/media/Dg9zjE2X4AEEaf6.jpg'],1,https://pbs.twimg.com/media/Dg9zjE2X4AEEaf6.jpg,False,26,5,7,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1013141275158155266,1013141275158155266,1530386677000.0,2018-06-30 12:24:37,-0800,,That R2 though !  #URUPOR  #worldcup  https://t.co/H8H6v4VBhV,en,"['urupor', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,12,https://twitter.com/amennotoe/status/1013141275158155266,[],['https://pbs.twimg.com/media/Dg9mna5WkAAr08M.jpg'],1,https://pbs.twimg.com/media/Dg9mna5WkAAr08M.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1013071643734958081,1013071643734958081,1530370076000.0,2018-06-30 07:47:56,-0800,,This Never or Ever Banega whatever is his name have been verxin me since 9ja match. France don't disgrace thy ancestors.  #VivaBlues #VivaFrance  #FRAARG  #WorldCup,en,"['vivablues', 'vivafrance', 'fraarg', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,07,https://twitter.com/amennotoe/status/1013071643734958081,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1013070007964786694,1013056578252091393,1530369686000.0,2018-06-30 07:41:26,-0800,,@ani_nomso Africans home and abroad are all Africans. They all represent Africa. We can't lose at both end.  #vivablues #vivafrance #FRAARG #WorldCup,en,"['vivablues', 'vivafrance', 'fraarg', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,07,https://twitter.com/amennotoe/status/1013070007964786694,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'ani_nomso', 'name': 'KinG NomSo👑', 'id': '750828397'}]",,,,
8,1011412473667342337,1011412473667342337,1529974499000.0,2018-06-25 17:54:59,-0800,,"@NGSuperEagles I knw y'all are going throu a lot right now and I don't mean to add more pressure but you guys can't afford to lose tomorrow or even nt win the #worldcup , yes you reading it right. As at this point it's not just football but a source of joy to a country is tears.",en,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,1,17,https://twitter.com/amennotoe/status/1011412473667342337,[],[],0,,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1010879550123839494,1010879550123839494,1529847440000.0,2018-06-24 06:37:20,-0800,,I'm jst waiting for pep ass kissers aka the media to write thousands of articles how Pep have influenced the English football.   Ps- Zindane men have been killing since by the way and nobody is saying anything.  #WorldCup  #EnglandvPanama,en,"['worldcup', 'englandvpanama']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,7,06,https://twitter.com/amennotoe/status/1010879550123839494,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1010599287707889664,1010599287707889664,1529780620000.0,2018-06-23 12:03:40,-0800,,Aswearugud this #worldcup is lit AF. I'm sure no other #WorldCup have cut people ticket like this one.,en,"['worldcup', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,12,https://twitter.com/amennotoe/status/1010599287707889664,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1010230417671294979,1010226424282800128,1529692675000.0,2018-06-22 11:37:55,-0800,,"@jahmalusen As at today, as at now, in this #WorldCup . He's better.",en,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1010230417671294979,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
12,1010205650440290304,1010205650440290304,1529686770000.0,2018-06-22 09:59:30,-0800,,"NGS 2 - 0 ICE  What did Iceland expect thou, bringing their sons to come and play with father of two or more.  The nerve, The audacity   #WorldCup #NGAISL  https://t.co/TRfLl1bVvj",en,"['worldcup', 'ngaisl']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,09,https://twitter.com/amennotoe/status/1010205650440290304,[],['https://pbs.twimg.com/media/DgT4nmDX4AAxr01.jpg'],1,https://pbs.twimg.com/media/DgT4nmDX4AAxr01.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
13,1009902550580125697,1009902550580125697,1529614505000.0,2018-06-21 13:55:05,-0800,,"BREAKING NEWS:  Messi have not been feeling fine during this #WorldCup . He got infected after the photoshoot with a goat. The infection was suppose to make him the GOAT, but his DNA was nt comparable which left him ill leading to his poor performance during the #WorldCup so far.",en,"['worldcup', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,13,https://twitter.com/amennotoe/status/1009902550580125697,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
14,1009892420086108161,1009892420086108161,1529612090000.0,2018-06-21 13:14:50,-0800,,Which of this two keepers so far is winning the Karius challenge ?  #WorldCup #PORSPA #ARGCRO,en,"['worldcup', 'porspa', 'argcro']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,13,https://twitter.com/amennotoe/status/1009892420086108161,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
15,1009883659426500608,1009883659426500608,1529610001000.0,2018-06-21 12:40:01,-0800,,Real Madrid is making us proud in this #WorldCup #ARGCRO,en,"['worldcup', 'argcro']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,12,https://twitter.com/amennotoe/status/1009883659426500608,[],[],0,,False,2,0,3,,worldcup OR worldcup2018,,,,,,,[],,,,
16,1009876700749017089,1009876700749017089,1529608342000.0,2018-06-21 12:12:22,-0800,,Your Goat is losing.  #WorldCup #ARGCRO  https://t.co/NpzKPlCQ4y,en,"['worldcup', 'argcro']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,12,https://twitter.com/amennotoe/status/1009876700749017089,[],['https://pbs.twimg.com/media/DgPNf7cWAAErUjR.jpg'],1,https://pbs.twimg.com/media/DgPNf7cWAAErUjR.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
17,1009123790390026241,1009123790390026241,1529428834000.0,2018-06-19 10:20:34,-0800,,The last Africa country standing at the #worldcup or finish with most point will be considered The Giant Of Africa. Enough of this self acclaimed title.,en,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,2,10,https://twitter.com/amennotoe/status/1009123790390026241,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
18,1008103556845637634,1008103556845637634,1529185592000.0,2018-06-16 14:46:32,-0800,,I swear John Mikel Obi is underrated. His level of uselessness as a number 10 is really really underrated. Words can not express his level of uselessness. God!  #WorldCup #CRONGA,en,"['worldcup', 'cronga']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,14,https://twitter.com/amennotoe/status/1008103556845637634,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
19,1008082227131973632,1008082227131973632,1529180506000.0,2018-06-16 13:21:46,-0800,,Wait this man left Moses on the field?  We are going nowhere with this man in charge.   #WorldCup #CRONGA,en,"['worldcup', 'cronga']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,13,https://twitter.com/amennotoe/status/1008082227131973632,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
20,1008042837315813376,1008042837315813376,1529171115000.0,2018-06-16 10:45:15,-0800,,"Peru for me has been the best team so far, then deserve a point from this game. Lord pls.  #WorldCup #peruvsdinamarca",en,"['worldcup', 'peruvsdinamarca']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,10,https://twitter.com/amennotoe/status/1008042837315813376,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
21,1007992784693932032,1007992784693932032,1529159182000.0,2018-06-16 07:26:22,-0800,,Messi is really a goat  #WorldCup #ARGISL,en,"['worldcup', 'argisl']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,6,07,https://twitter.com/amennotoe/status/1007992784693932032,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
22,1007711349319852037,1007711349319852037,1529092082000.0,2018-06-15 12:48:02,-0800,,It's official  Ronaldo the great aka the g.o.a.t aka ororo is not human.  Portugal 3 - 3 Spain   #PortugalVsSpain #worldcup,en,"['portugalvsspain', 'worldcup']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,12,https://twitter.com/amennotoe/status/1007711349319852037,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
23,1007708810507706368,1007708810507706368,1529091477000.0,2018-06-15 12:37:57,-0800,,It's amazing hw no body criticize pep. How exactly has bernado silva improved since moving to man city?   #worldcup #PortugalVsSpain,en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,12,https://twitter.com/amennotoe/status/1007708810507706368,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
24,1007703394985955331,1007703394985955331,1529090186000.0,2018-06-15 12:16:26,-0800,,I'm tired of portugal   #worldcup #PortugalVsSpain,en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,12,https://twitter.com/amennotoe/status/1007703394985955331,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
25,1007699339928588290,1007699339928588290,1529089219000.0,2018-06-15 12:00:19,-0800,,It's official Let the Karius challenge begin 😂   #WorldCup #PortugalVsSpain,en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,12,https://twitter.com/amennotoe/status/1007699339928588290,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
26,1007695759171604481,1007695759171604481,1529088365000.0,2018-06-15 11:46:05,-0800,,"It's a goal, the great red Wall has fallen thanks to the spirit of Loris Karius.   Ororo is G.O.A.T  #worldcup #PortugalVsSpain",en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1007695759171604481,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
27,1007693356137353216,1007693356137353216,1529087792000.0,2018-06-15 11:36:32,-0800,,"Wait first, let forget the brilliant individual effort by Costa, how come the goal was not cancelled? Was that not a foul ?  #worldcup #PortugalVsSpain",en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1007693356137353216,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
28,1007690486314864642,1007690486314864642,1529087108000.0,2018-06-15 11:25:08,-0800,,How will Ronaldo ever have high assist rate when he has team mates like this?  #WorldCup #PortugalVsSpain,en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1007690486314864642,[],[],0,,False,0,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
29,1007690306186301441,1007690306186301441,1529087065000.0,2018-06-15 11:24:25,-0800,,"Look at the way Ronaldo is drooping deep, circulating the ball, running and pressing.....some people will say he doesn't add to team game play...mad people shm.  #worldcup #PortugalVsSpain",en,"['worldcup', 'portugalvsspain']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1007690306186301441,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
30,1007685405075038208,1007685405075038208,1529085897000.0,2018-06-15 11:04:57,-0800,,It's a goaaaaallllllll  All hail the G.O.A.T Cristiano Ronaldo aka Ororo  #worldcup,it,['worldcup'],[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,11,https://twitter.com/amennotoe/status/1007685405075038208,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
31,1007604449194504192,1007604449194504192,1529066595000.0,2018-06-15 05:43:15,-0800,,So far Egypt is doing well. Let go #Africa.   #worldcup #WorldCup2018 #WorldCupRussia2018 #EndSARS,en,"['africa', 'worldcup', 'worldcup2018', 'worldcuprussia2018', 'endsars']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,5,05,https://twitter.com/amennotoe/status/1007604449194504192,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
32,1007306024532021250,1007306024532021250,1528995445000.0,2018-06-14 09:57:25,-0800,,Please how did Saudi Arabia qualify for this world cup?   #WorldCup #EndSarsBrutality,en,"['worldcup', 'endsarsbrutality']",[],938630435986436096,938630435986436096,amennotoe,Amen Notoe ™,4,09,https://twitter.com/amennotoe/status/1007306024532021250,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
