,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018711591661887488,1018711591661887488,1531714744000.0,2018-07-15 21:19:04,-0800,,"Piala Dunia telah berakhir, Perancis masih mengalami euforia, tapi wajah yang terkenang masih sama  rasa penasaran masih tetap ada untuk satu sosok, Daniela Botero #Col #WorldCup  https://t.co/MG2dyEcAnp",in,"['col', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,7,21,https://twitter.com/andar_sihombing/status/1018711591661887488,[],['https://pbs.twimg.com/media/DiMwyJ9UYAAWM2b.jpg'],1,https://pbs.twimg.com/media/DiMwyJ9UYAAWM2b.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018460266676146176,1018460266676146176,1531654824000.0,2018-07-15 04:40:24,-0800,,"Ketetapan hati, saya dukung baju kotak-kotak #Cro #FinalWorldCup #FRACRO #WorldCup   @budimandjatmiko @PartaiSocmed @MurtadhaOne  https://t.co/SquYGz1SHP",in,"['cro', 'finalworldcup', 'fracro', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,7,04,https://twitter.com/andar_sihombing/status/1018460266676146176,[],"['https://pbs.twimg.com/media/DiJMNFPVAAEwz8q.jpg', 'https://pbs.twimg.com/media/DiJMNFAU8AATZVu.jpg', 'https://pbs.twimg.com/media/DiJMNFPUYAAlyk9.jpg']",1,https://pbs.twimg.com/media/DiJMNFPVAAEwz8q.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018277893611270144,1018277893611270144,1531611343000.0,2018-07-14 16:35:43,-0800,,"Bangun pagi galau, dari awal turnamen jagoin #Fra &amp; #Eng yg masuk final,kerna tinggal #Fra jdnya berharap mereka menang..tapi generasi emas #Cro juga keren  Demi Lord Kalinic saya dukung #Cro #FinalWorldCup #WorldCup",in,"['fra', 'eng', 'fra', 'cro', 'cro', 'finalworldcup', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,6,16,https://twitter.com/andar_sihombing/status/1018277893611270144,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017192913552281600,1017192913552281600,1531352663000.0,2018-07-11 16:44:23,-0800,,Tebakan Milo benar lagi 😁 #CROENG #WorldCup  https://t.co/4y1jNJjPjU,in,"['croeng', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,3,16,https://twitter.com/andar_sihombing/status/1017192913552281600,['https://twitter.com/andar_sihombing/status/1016830078397714432'],[],0,,False,0,0,0,https://twitter.com/andar_sihombing/status/1016830078397714432,worldcup OR worldcup2018,,,,,,,[],,,,
4,1016830078397714432,1016830078397714432,1531266157000.0,2018-07-10 16:42:37,-0800,,Setelah #Milo menebak dgn benar kemenangan #Fra maka malam ini #Milo menebak #Cro akan menang melawan #Eng #WorldCup   @panditfootball @SiaranBolaLivee  https://t.co/uEPCKNa1Tf,in,"['milo', 'fra', 'milo', 'cro', 'eng', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,2,16,https://twitter.com/andar_sihombing/status/1016830078397714432,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1016829983287738368/pu/img/A0f5xU6RgEAAFBIO.jpg,False,0,1,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1016560070597857280,1016560070597857280,1531201782000.0,2018-07-09 22:49:42,-0800,,#Millo anjingku meramal #Fra akan menang melawan #Bel malam ini  #Dog #WorldCup    @panditfootball @SiaranBolaLivee  https://t.co/VkEg2FegHq,in,"['millo', 'fra', 'bel', 'dog', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,1,22,https://twitter.com/andar_sihombing/status/1016560070597857280,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1016559980076400640/pu/img/9Thet2_ROxtq5X07.jpg,False,2,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1016552521840508929,1016552521840508929,1531199982000.0,2018-07-09 22:19:42,-0800,,"Tatapan penuh cinta Henry ke Lukaku  Tapi sayangnya Henry malam ini akan menangis sambil tersenyum, karena air matanya jatuh utk Belgia tapi senyumnya ada untuk #Fra yang lolos ke Final #WorldCup  https://t.co/NXPJ5Obp8l",in,"['fra', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,1,22,https://twitter.com/andar_sihombing/status/1016552521840508929,['https://twitter.com/olandfatah/status/1016541680126660609'],[],0,,False,0,0,0,https://twitter.com/olandfatah/status/1016541680126660609,worldcup OR worldcup2018,,,,,,,[],,,,
7,1015394370911023104,1015316302645288960,1530923857000.0,2018-07-06 17:37:37,-0800,,@SiaranBolaLivee Best Actor #WorldCup 2018,en,['worldcup'],[],82023760,82023760,andar_sihombing,Happy Hypoxia,5,17,https://twitter.com/andar_sihombing/status/1015394370911023104,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'SiaranBolaLivee', 'name': 'Siaran Bola Live', 'id': '1681032913'}]",,,,
8,1013464652963958785,1013464652963958785,1530463777000.0,2018-07-01 09:49:37,-0800,,Semoga yang mendukung #RUS  malam ini gak di cap pendukung komunis 😁 #ESPRUS #Worldcup,in,"['rus', 'esprus', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,7,09,https://twitter.com/andar_sihombing/status/1013464652963958785,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1013460871446556672,1013460871446556672,1530462875000.0,2018-07-01 09:34:35,-0800,,"saran buat spanyol, pakailah penutup telinga melawan pemain ke 12 #Rus  #ESPRUS ##WORLDCUP",in,"['rus', 'esprus', 'worldcup']",[],82023760,82023760,andar_sihombing,Happy Hypoxia,7,09,https://twitter.com/andar_sihombing/status/1013460871446556672,[],[],0,,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
