,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018282688493555713,1018282688493555713,1531612486000.0,2018-07-14 16:54:46,-0800,,"next time ""Never Give Up"" #england #WorldCup @England  https://t.co/WGr1rcDmrL",en,"['england', 'worldcup']",[],18680571,18680571,androidhughes,android,6,16,https://twitter.com/androidhughes/status/1018282688493555713,['https://www.youtube.com/embed/z_Xia2gf3LI?start=110&end=137'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1017047835349528576,1017047835349528576,1531318074000.0,2018-07-11 07:07:54,-0800,,@ladbible Never give up England!!!  Today's the day!!  https://t.co/j2GNvK3B9K #WorldCup #England #EngCro a song to spur the lads on!!,en,"['worldcup', 'england', 'engcro']",[],18680571,18680571,androidhughes,android,3,07,https://twitter.com/androidhughes/status/1017047835349528576,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1017047670874103809,1017047670874103809,1531318035000.0,2018-07-11 07:07:15,-0800,,@JOE_co_uk Never give up England!!!  Today's the day!!  https://t.co/j2GNvK3B9K #WorldCup #England #EngCro a song to spur the lads on!!,en,"['worldcup', 'england', 'engcro']",[],18680571,18680571,androidhughes,android,3,07,https://twitter.com/androidhughes/status/1017047670874103809,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017041116284276737,1017041116284276737,1531316472000.0,2018-07-11 06:41:12,-0800,,#EnglandvCroatia Never give up England!!!  Today is the day!!  https://t.co/j2GNvK3B9K #WorldCup #England #EngCro a song to spur the lads on!!,en,"['englandvcroatia', 'worldcup', 'england', 'engcro']",[],18680571,18680571,androidhughes,android,3,06,https://twitter.com/androidhughes/status/1017041116284276737,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1016974296382693376,1016974296382693376,1531300541000.0,2018-07-11 02:15:41,-0800,,@SkySports I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,02,https://twitter.com/androidhughes/status/1016974296382693376,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1016974236953513984,1016974236953513984,1531300527000.0,2018-07-11 02:15:27,-0800,,@BBCMOTD hi guys I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,02,https://twitter.com/androidhughes/status/1016974236953513984,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1016971681108320256,1016971681108320256,1531299917000.0,2018-07-11 02:05:17,-0800,,@piersmorgan hi piers I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,02,https://twitter.com/androidhughes/status/1016971681108320256,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1016971272050405377,1016971272050405377,1531299820000.0,2018-07-11 02:03:40,-0800,,@England I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,02,https://twitter.com/androidhughes/status/1016971272050405377,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1016971106975125504,1016971106975125504,1531299780000.0,2018-07-11 02:03:00,-0800,,@BBCSport I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,02,https://twitter.com/androidhughes/status/1016971106975125504,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1016968559195492353,1016968559195492353,1531299173000.0,2018-07-11 01:52:53,-0800,,@GaryLineker hi Gary I wondered if you like our worldcup tune??? Written to inspire the lads would be amazing if you could give us a share  never give up England!!  https://t.co/j2GNvK3B9K,en,[],[],18680571,18680571,androidhughes,android,3,01,https://twitter.com/androidhughes/status/1016968559195492353,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
10,1016956152700178433,1016956152700178433,1531296215000.0,2018-07-11 01:03:35,-0800,,Never give up England!!!  Today's the day!!  https://t.co/j2GNvK3B9K #WorldCup #England #EngCro a song to spur the lads on!!,en,"['worldcup', 'england', 'engcro']",[],18680571,18680571,androidhughes,android,3,01,https://twitter.com/androidhughes/status/1016956152700178433,['https://youtu.be/z_Xia2gf3LI'],[],0,,False,0,1,4,,worldcup OR worldcup2018,,,,,,,[],,,,
11,1016733805023985664,1016733805023985664,1531243203000.0,2018-07-10 10:20:03,-0800,,England practice lobbing a rubber chicken around. Clearly not taking this game seriously enough!! #EnglandvCroatia #WorldCup #England,en,"['englandvcroatia', 'worldcup', 'england']",[],18680571,18680571,androidhughes,android,2,10,https://twitter.com/androidhughes/status/1016733805023985664,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
