,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018803703334219777,1018803703334219777,1531736705000.0,2018-07-16 03:25:05,-0800,,"And hat if he won the #worldcup what would have happened... He'd be made the king?🤔 This is mediocrity, absolute mediocrity 😒😒😒  https://t.co/vZohHba8ER",en,['worldcup'],[],223410833,223410833,dawhiizz,Flix,1,03,https://twitter.com/dawhiizz/status/1018803703334219777,['https://twitter.com/talkSPORT/status/1018786064767602690'],[],0,,False,0,0,0,https://twitter.com/talkSPORT/status/1018786064767602690,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018550543545925632,1018550543545925632,1531676347000.0,2018-07-15 10:39:07,-0800,,"3 Nigerian descents won this #WorldCup with #FRA Kylián Mbappé, Thomas Lemar and Ousmane Dembélé",ro,"['worldcup', 'fra']",[],223410833,223410833,dawhiizz,Flix,7,10,https://twitter.com/dawhiizz/status/1018550543545925632,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1018540658892689408,1018540658892689408,1531673991000.0,2018-07-15 09:59:51,-0800,,#FRA wins the 2018 #WorldCup 🏅🏅🏅🏆🏆🏆 #FRACRO #LightUpTheWorldCup #WorldCupFinal,en,"['fra', 'worldcup', 'fracro', 'lightuptheworldcup', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018540658892689408,[],[],0,,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1018540256998625281,1018540256998625281,1531673895000.0,2018-07-15 09:58:15,-0800,,"This is the first time in World Cup history that neither Italy, Argentina, Germany, Brazil, or the Netherlands are playing in the final, breaking an 84 year-old streak. #FRA wins🏅🏅🏅🏆🏆🏆 #FRACRO #LightUpTheWorldCup #WorldCup #WorldCupFinal",en,"['fra', 'fracro', 'lightuptheworldcup', 'worldcup', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018540256998625281,[],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1018539746421891072,1018539746421891072,1531673773000.0,2018-07-15 09:56:13,-0800,,#FRA wins the 2018 #WorldCupFinal  #WorldCup  #FRACRO 4-2,en,"['fra', 'worldcupfinal', 'worldcup', 'fracro']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018539746421891072,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1018539568826667009,1018539568826667009,1531673731000.0,2018-07-15 09:55:31,-0800,,"It is #FRA  And the #WorldCup is delivered Since 1998, 20 years a go Deschamps won it as a player and now as a manager #FRACRO 4-2 #WorldCupFinal",en,"['fra', 'worldcup', 'fracro', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018539568826667009,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1018538592979836939,1018538592979836939,1531673498000.0,2018-07-15 09:51:38,-0800,,The first knockout game #CRO didn't have to play extra time...guess what happened... They went home with the time #FRACRO 4-2 #WorldCup  #WorldCupFinal,en,"['cro', 'fracro', 'worldcup', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018538592979836939,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1018532746715697152,1018532746715697152,1531672104000.0,2018-07-15 09:28:24,-0800,,#CRO Lloris howler gifts Mandzukic a goal  #FRACRO 4-2 #WorldCup  #WorldCupFinal,en,"['cro', 'fracro', 'worldcup', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018532746715697152,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1018532687202545665,1018532687202545665,1531672090000.0,2018-07-15 09:28:10,-0800,,Don't ever equalise #FRA una no go hear  Don't ever equalise #FRA una no go hear  Don't ever equalise #FRA una no go hear  Don't ever equalise #FRA una no go hear  Don't ever equalise #FRA una no go hear  #FRACRO 4-1 #WorldCup  #WorldCupFinal,en,"['fra', 'fra', 'fra', 'fra', 'fra', 'fracro', 'worldcup', 'worldcupfinal']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018532687202545665,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1018532668500250625,1018532668500250625,1531672086000.0,2018-07-15 09:28:06,-0800,,Since 1982 Marco Tardelli strike; there had not been a goal outside the penalty box...2018 #WorldCupFinal there have been 2 strikes #FRACRO  #WorldCup,en,"['worldcupfinal', 'fracro', 'worldcup']",[],223410833,223410833,dawhiizz,Flix,7,09,https://twitter.com/dawhiizz/status/1018532668500250625,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
