,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1294376600465625088,1294376600465625088,1597438404000.0,2020-08-14 13:53:24,-0800,,"If you're a #football (soccer) fan, add this to the list of highly-unthinkables becoming reality.  (Reminds me of the #Brazil - #Germany #WorldCup game -- unforgettable and, also, quite painful still for many of my #Brazilian friends.)  @FCBarcelona @FCBayernEN @ChampionsLeague  https://t.co/ljDzlvZK9U",en,"['football', 'brazil', 'germany', 'worldcup', 'brazilian']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,5,13,https://twitter.com/elerianm/status/1294376600465625088,[],['https://pbs.twimg.com/media/EfaMZFVU0AMIjti.jpg'],1,https://pbs.twimg.com/media/EfaMZFVU0AMIjti.jpg,False,336,57,50,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1190949985136840704,1190949985136840704,1572779577000.0,2019-11-03 03:12:57,-0800,,"Sorry to come back to this but,the more I read,the more shocked I am with coverage of #England’s loss to #SouthAfrica in yesterday’s #WorldCup . Undoubtedly it was a massive blow for a heavily-favored team. But their opponents played brilliantly. And England had a good tournament  https://t.co/ITdPgHUjWU",en,"['england', 'southafrica', 'worldcup']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,7,03,https://twitter.com/elerianm/status/1190949985136840704,[],"['https://pbs.twimg.com/media/EIcaqmrWsAAIzLv.jpg', 'https://pbs.twimg.com/media/EIcaqmoXsAA93ak.jpg', 'https://pbs.twimg.com/media/EIcaqmsXsAELv4q.jpg']",1,https://pbs.twimg.com/media/EIcaqmrWsAAIzLv.jpg,False,52,12,1,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1190874079303106560,1190874079303106560,1572761480000.0,2019-11-02 23:11:20,-0800,,Good morning.  Wishing you a good Sunday. Re below: Even the coverage of sports can be rather cruel  and pointed — the front page of the #UK’s @thesundaytimes on yesterday’s surprise #England loss to #SouthAfrica in the #rugby #WorldCup2019. #worldcup #rugby  https://t.co/j9aK9RW9oB,en,"['uk', 'england', 'southafrica', 'rugby', 'worldcup2019', 'worldcup', 'rugby']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,6,23,https://twitter.com/elerianm/status/1190874079303106560,[],['https://pbs.twimg.com/media/EIbVntYWkAA5Ryu.jpg'],1,https://pbs.twimg.com/media/EIbVntYWkAA5Ryu.jpg,False,17,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1190584918063099904,1190584918063099904,1572692539000.0,2019-11-02 04:02:19,-0800,,Great performance by #SouthAfrica in #RugbyWorldCupfinal. They stifled and frustrated #England in the first half and then produced exceptional offensive plays to beat #England. Congrats to the #Springboks. Hard luck to #England whose strong #WorldCup campaign fell one game short.  https://t.co/jRu5rs37Bx,en,"['southafrica', 'rugbyworldcupfinal', 'england', 'england', 'springboks', 'england', 'worldcup']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,6,04,https://twitter.com/elerianm/status/1190584918063099904,[],['https://pbs.twimg.com/media/EIXOc_uXkAEVxmE.jpg'],1,https://pbs.twimg.com/media/EIXOc_uXkAEVxmE.jpg,False,60,2,11,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1020045705316978688,1020045705316978688,1532032822000.0,2018-07-19 13:40:22,-0800,,".@robertshrimsley in the @FT on the ""the perils of positive thinking"" when applied to #Brexit , #England's #WorldCup run and at home.    https://t.co/arLKZrSi2l  https://t.co/DziaeQ0cSI",en,"['brexit', 'england', 'worldcup']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,4,13,https://twitter.com/elerianm/status/1020045705316978688,['https://www.ft.com/content/3419e61c-8a18-11e8-bf9e-8771d5404543'],['https://pbs.twimg.com/media/Dift8uJUEAENgDv.jpg'],1,https://pbs.twimg.com/media/Dift8uJUEAENgDv.jpg,False,10,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1018740217572978688,1018740217572978688,1531721569000.0,2018-07-15 23:12:49,-0800,,From the front page of @thetimes : President #Macron leaping from his seat during the #WorldCupFinal which #France won over #Croatia 4-2.  @FIFAWorldCup #worldcup #LesBlues  https://t.co/4Xa8o4y2sX,en,"['macron', 'worldcupfinal', 'france', 'croatia', 'worldcup', 'lesblues']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,7,23,https://twitter.com/elerianm/status/1018740217572978688,[],['https://pbs.twimg.com/media/DiNK0fkW0AAIcuk.jpg'],1,https://pbs.twimg.com/media/DiNK0fkW0AAIcuk.jpg,False,65,3,18,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1018539085261148160,1018539085261148160,1531673616000.0,2018-07-15 09:53:36,-0800,,"Congrats #France. Very well done #LesBleus. Your huge win, by a notably diverse team, should put to rest any lingering nightmares about 2006.   Hard luck to Croatia. Your memorable run to the #WorldCupFinal serves as an inspiration for many, and for a long time  #WorldCup #fracro",en,"['france', 'lesbleus', 'worldcupfinal', 'worldcup', 'fracro']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,7,09,https://twitter.com/elerianm/status/1018539085261148160,[],[],0,,False,137,2,24,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1018533219971620865,1018533219971620865,1531672217000.0,2018-07-15 09:30:17,-0800,,On much for the prediction!  Didn’t factor in #France giving away a ridiculously embarrassing goal to #Croatia. Let’s hope it doesn’t fluster the goal keeper too much.  #FrancevsCroatia #FRACRO #worldcup  https://t.co/ueNmaDdBKO,en,"['france', 'croatia', 'francevscroatia', 'fracro', 'worldcup']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,7,09,https://twitter.com/elerianm/status/1018533219971620865,['https://twitter.com/elerianm/status/1018531187843878912'],[],0,,False,12,2,4,https://twitter.com/elerianm/status/1018531187843878912,worldcup OR worldcup2018,,,,,,,[],,,,
8,1018508980526768139,1018508980526768139,1531666438000.0,2018-07-15 07:53:58,-0800,,No better way to watch the #WorldCupFinals !  Here’s to a good game! #AllezLesBleus  #WorldCup #croatia #france #CROFRA #FRACRO @FIFAWorldCup  https://t.co/vZ2hN1risK,en,"['worldcupfinals', 'allezlesbleus', 'worldcup', 'croatia', 'france', 'crofra', 'fracro']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,7,07,https://twitter.com/elerianm/status/1018508980526768139,[],['https://pbs.twimg.com/media/DiJ4fO1XcAEkQN_.jpg'],1,https://pbs.twimg.com/media/DiJ4fO1XcAEkQN_.jpg,False,21,1,1,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1018270994903912448,1018270994903912448,1531609698000.0,2018-07-14 16:08:18,-0800,,From today’s @wsj : how goal scorers have celebrated at this #worldcup.   @FIFAWorldCup #WorldCupFinal  https://t.co/K3zHM1H5oE,en,"['worldcup', 'worldcupfinal']",[],332617373,332617373,elerianm,Mohamed A. El-Erian,6,16,https://twitter.com/elerianm/status/1018270994903912448,[],['https://pbs.twimg.com/media/DiGgEdgUwAAY4Eb.jpg'],1,https://pbs.twimg.com/media/DiGgEdgUwAAY4Eb.jpg,False,54,5,20,,worldcup OR worldcup2018,,,,,,,[],,,,
