,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1022096630886084608,1022096630886084608,1532521801000.0,2018-07-25 05:30:01,-0800,,ロシアW杯から飛躍が期待される10人のヤングタレント。エムバペだけではない注目株たち【編集部フォーカス】  https://t.co/ddLq2kgGdO #Worldcup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,3,05,https://twitter.com/foot_ch/status/1022096630886084608,['https://www.footballchannel.jp/2018/07/25/post282895/'],[],0,,False,22,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1021937909807570945,1021937909807570945,1532483959000.0,2018-07-24 18:59:19,-0800,,ロシアW杯から飛躍が期待される10人のヤングタレント。エムバペだけではない注目株たち【編集部フォーカス】  https://t.co/ddLq2jZ4Pe #Worldcup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,2,18,https://twitter.com/foot_ch/status/1021937909807570945,['https://www.footballchannel.jp/2018/07/25/post282895/'],[],0,,False,28,0,6,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1021368077722816513,1021368077722816513,1532348100000.0,2018-07-23 05:15:00,-0800,,フランスが優勝を果たした理由。“勝つため”の23人をデシャンはどのように選んだのか【宮澤ミシェルの独り言/ロシアW杯】  https://t.co/EqAepNu1US （語り手：宮澤ミシェル @michel_miyazawa） #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,1,05,https://twitter.com/foot_ch/status/1021368077722816513,['https://www.footballchannel.jp/2018/07/23/post282621/'],[],0,,False,17,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1021225260232814595,1021225260232814595,1532314050000.0,2018-07-22 19:47:30,-0800,,フランスが優勝を果たした理由。“勝つため”の23人をデシャンはどのように選んだのか【宮澤ミシェルの独り言/ロシアW杯】  https://t.co/EqAepNcqwi （語り手：宮澤ミシェル @michel_miyazawa） #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,7,19,https://twitter.com/foot_ch/status/1021225260232814595,['https://www.footballchannel.jp/2018/07/23/post282621/'],[],0,,False,24,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1020277147359956992,1020277147359956992,1532088002000.0,2018-07-20 05:00:02,-0800,,ロシアW杯で生まれた“迷勝負”5戦。Fチャン編集部が厳選、批判、嘲笑、落胆させたあの試合【編集部フォーカス/ロシアW杯】  https://t.co/ok6W8CkUGi #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,5,05,https://twitter.com/foot_ch/status/1020277147359956992,['https://www.footballchannel.jp/2018/07/20/post282232/'],[],0,,False,15,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1020081350982828032,1020081350982828032,1532041320000.0,2018-07-19 16:02:00,-0800,,ロシアW杯で生まれた“迷勝負”5戦。Fチャン編集部が厳選、批判、嘲笑、落胆させたあの試合【編集部フォーカス/ロシアW杯】  https://t.co/ok6W8C3jhI #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,4,16,https://twitter.com/foot_ch/status/1020081350982828032,['https://www.footballchannel.jp/2018/07/20/post282232/'],[],0,,False,24,0,4,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1019914757636280320,1019914757636280320,1532001601000.0,2018-07-19 05:00:01,-0800,,ロシアW杯を盛り上げた名勝負5戦。Fチャン編集部が厳選、記憶に残る熱戦をプレーバック【編集部フォーカス】  https://t.co/rOKF7bZI4w #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,4,05,https://twitter.com/foot_ch/status/1019914757636280320,['https://www.footballchannel.jp/2018/07/19/post282197/'],[],0,,False,34,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1019771568384237568,1019771568384237568,1531967462000.0,2018-07-18 19:31:02,-0800,,ロシアW杯を盛り上げた名勝負5戦。Fチャン編集部が厳選、記憶に残る熱戦をプレーバック【編集部フォーカス】  https://t.co/rOKF7bI6FW #WorldCup,ja,['worldcup'],[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,3,19,https://twitter.com/foot_ch/status/1019771568384237568,['https://www.footballchannel.jp/2018/07/19/post282197/'],[],0,,False,20,0,4,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1019680709064232962,1019680709064232962,1531945800000.0,2018-07-18 13:30:00,-0800,,“アンチフットボール”など、「どーだっていい」。フランスを優勝に導いた草食男子の精神【ロシアW杯】  https://t.co/cIFS5o0LfN （文：小川由紀子【フランス】） #WorldCup  #FRA,ja,"['worldcup', 'fra']",[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,3,13,https://twitter.com/foot_ch/status/1019680709064232962,['https://www.footballchannel.jp/2018/07/18/post282091/'],[],0,,False,25,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1019559914773991424,1019559914773991424,1531917000000.0,2018-07-18 05:30:00,-0800,,“アンチフットボール”など、「どーだっていい」。フランスを優勝に導いた草食男子の精神【ロシアW杯】  https://t.co/cIFS5oim7l （文：小川由紀子【フランス】） #WorldCup  #FRA,ja,"['worldcup', 'fra']",[],962169577,962169577,foot_ch,フットボールチャンネル⚽️,3,05,https://twitter.com/foot_ch/status/1019559914773991424,['https://www.footballchannel.jp/2018/07/18/post282091/'],[],0,,False,42,0,15,,worldcup OR worldcup2018,,,,,,,[],,,,
