,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1020826625317920768,1020826625317920768,1532219008000.0,2018-07-21 17:23:28,-0800,,【#ホルヘ三村 ブログ更新】次期アルゼンチン代表監督は、ペケルマンか？サベーラか？現地在住のジャーナリスト ホルヘ三村さんよりブログが届きました。  https://t.co/Js9RjXaWi1 ・ #アルゼンチン ＃アルゼンチン代表 #W杯 #worldcup #男女格差 #女子サッカー #Pekerman #Sabella  https://t.co/DtOLfLdwMu,ja,"['ホルヘ三村', 'アルゼンチン', 'アルゼンチン代表', 'w杯', 'worldcup', '男女格差', '女子サッカー', 'pekerman', 'sabella']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,6,17,https://twitter.com/gol_deportes/status/1020826625317920768,['https://gol-deportes.com/2018/07/22/gendergap/'],"['https://pbs.twimg.com/media/Diq0YRbVsAE2gzm.jpg', 'https://pbs.twimg.com/media/Diq0YRcVsAAPjfX.jpg']",1,https://pbs.twimg.com/media/Diq0YRbVsAE2gzm.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018266100595748864,1018266100595748864,1531608531000.0,2018-07-14 15:48:51,-0800,,【#ホルヘ三村 ブログ更新】W杯決勝の笛を吹くことになったアルゼンチンセット。今週はアルゼンチンのレフェリー事情をお送りいただきました！ ・ gol.公式HPよりチェック！  https://t.co/28itNnAIZr ・ #アルゼンチン #W杯 #worldcup #referee #審判  https://t.co/Pcphp31dpJ,ja,"['ホルヘ三村', 'アルゼンチン', 'w杯', 'worldcup', 'referee', '審判']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,6,15,https://twitter.com/gol_deportes/status/1018266100595748864,['https://gol-deportes.com/2018/07/15/argentine_referee/'],"['https://pbs.twimg.com/media/DiGbnMPU8AEyA-N.jpg', 'https://pbs.twimg.com/media/DiGbnMOU8AEVHnA.jpg', 'https://pbs.twimg.com/media/DiGbnMQUcAABvnM.jpg']",1,https://pbs.twimg.com/media/DiGbnMPU8AEyA-N.jpg,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1016477776033878016,1016477776033878016,1531182161000.0,2018-07-09 17:22:41,-0800,,【#土屋雅史 ブログ更新】試合間のインターバルはデータの精査！ 「僕はTwitterで『「ふーん。そうなんだ」と思ってもらえるようなデータを繰り出す』というのをワールドカップ期間は自らに課しているので（笑）」 土屋雅史さんよりブログが届きました！  https://t.co/vsgkQthWeW #worldcup  https://t.co/eO6mhlTVNC,ja,"['土屋雅史', 'worldcup']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,1,17,https://twitter.com/gol_deportes/status/1016477776033878016,['https://gol-deportes.com/2018/07/10/shihatsu/'],['https://pbs.twimg.com/media/DhtA3TLVQAc6506.jpg'],1,https://pbs.twimg.com/media/DhtA3TLVQAc6506.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1015723183889047552,1015723183889047552,1531002252000.0,2018-07-07 15:24:12,-0800,,【#ホルヘ三村 ブログ更新】「以前の大会にはあった「親しみ」がなくなり、手の届かない遠い存在になったようで寂しさを感じる。」 今週はホルヘさんが今のW杯に感じていることをお送りいただきました。  https://t.co/7ZgJDxGD4q #アルゼンチン #W杯 #worldcup #Tévez #テベス #アパッチ砦  https://t.co/0uMVafPUit,ja,"['ホルヘ三村', 'アルゼンチン', 'w杯', 'worldcup', 'tévez', 'テベス', 'アパッチ砦']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,6,15,https://twitter.com/gol_deportes/status/1015723183889047552,['https://gol-deportes.com/2018/07/08/worldcup-2/'],['https://pbs.twimg.com/media/DhiSzRlUwAYczu6.jpg'],1,https://pbs.twimg.com/media/DhiSzRlUwAYczu6.jpg,False,3,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1015203923802480642,1015203923802480642,1530878451000.0,2018-07-06 05:00:51,-0800,,本日はW杯 準々決勝！ ブラジル🇧🇷 vs ベルギー🇧🇪   https://t.co/89Wvz6D8K4 PARKSIDE にはこんな可愛い雑貨もありますよっ。 将来はサッカー選手間違いなし！？  #W杯 #worldcup #ブラジル #🇧🇷 #ベルギー #🇧🇪 #新生児ウェア #ベビー服 #輸入雑貨 #南米 #kids #football #bra #bel  https://t.co/NugRIHdzWQ,ja,"['w杯', 'worldcup', 'ブラジル', 'ベルギー', '新生児ウェア', 'ベビー服', '輸入雑貨', '南米', 'kids', 'football', 'bra', 'bel']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,5,05,https://twitter.com/gol_deportes/status/1015203923802480642,['http://gol.STORE'],['https://pbs.twimg.com/media/Dha6fq7UEAAwVQP.jpg'],1,https://pbs.twimg.com/media/Dha6fq7UEAAwVQP.jpg,False,8,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1014422933731545088,1014422933731545088,1530692249000.0,2018-07-04 01:17:29,-0800,,「どんなスポーツにも言えることですが、やはりW杯の与える影響や、そのスポーツにおける日本代表の影響力は凄い！！」 Fリーグ　ペスカドーラ町田で活躍中の金山 友紀選手からブログが届きました。  https://t.co/17jKH0j6be … #Fリーグ #worldcup #samuraiblue #ペスカドーラ町田  https://t.co/7nCHLXkBZc,ja,"['fリーグ', 'worldcup', 'samuraiblue', 'ペスカドーラ町田']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,3,01,https://twitter.com/gol_deportes/status/1014422933731545088,['https://gol-deportes.com/2018/07/04/worldcup/'],['https://pbs.twimg.com/media/DhP0RzCUwAItUr2.jpg'],1,https://pbs.twimg.com/media/DhP0RzCUwAItUr2.jpg,False,24,0,5,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1013195645799165952,1013195645799165952,1530399640000.0,2018-06-30 16:00:40,-0800,,【#ホルヘ三村 ブログ更新】「日本代表はなんとかグループリーグを突破したが、西野采配の評価は真っ二つのようだ。」アルゼンチン在住のジャーナリストは日本代表の戦いをどう見たか？今週も独自の視点をお送りいただきました  https://t.co/ePTjrlUT3E #日本代表 #worldcup #daihyo #samuraiblue #JPN,ja,"['ホルヘ三村', '日本代表', 'worldcup', 'daihyo', 'samuraiblue', 'jpn']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,6,16,https://twitter.com/gol_deportes/status/1013195645799165952,['https://gol-deportes.com/2018/07/01/nishino_saihai/'],[],0,,False,2,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1012248579744780288,1012248579744780288,1530173842000.0,2018-06-28 01:17:22,-0800,,いよいよ、いよいよ。 引き分け以上でグループリーグ突破が決まるグループリーグ第3戦。 このジョガドールのようなリズミカルなプレーでgol.（ゴール）を！ 日本らしいテクニカルなサッカーで決勝トーナメントへ！  https://t.co/Qh6X4kAZtq  #worldcup #JPN #samuraiblue #daihyo  https://t.co/wdJHacf1UT,ja,"['worldcup', 'jpn', 'samuraiblue', 'daihyo']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,4,01,https://twitter.com/gol_deportes/status/1012248579744780288,['https://gol.stores.jp/items/5af54cd4434c721148000090'],"['https://pbs.twimg.com/media/Dgw6njAUYAEcpkD.jpg', 'https://pbs.twimg.com/media/Dgw6njCVMAAT1OI.jpg']",1,https://pbs.twimg.com/media/Dgw6njAUYAEcpkD.jpg,False,2,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1011834857452785664,1011834857452785664,1530075203000.0,2018-06-26 21:53:23,-0800,,いよいよ、グループリーグも佳境となってきたW杯。 今日の深夜は王国ブラジル🇧🇷が登場！ 寝不足な毎日も、サンバのリズムと共にハッピーに楽しんで行きましょう〜⚽⚽⚽  https://t.co/10e0RgSilu  #ドライシャツ #サンバ #フッチボウ #ブラジル #samba #futebol #brasil #gol #worldcup #BRA #⚽  https://t.co/kwlskVcb9O,ja,"['ドライシャツ', 'サンバ', 'フッチボウ', 'ブラジル', 'samba', 'futebol', 'brasil', 'gol', 'worldcup', 'bra']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,2,21,https://twitter.com/gol_deportes/status/1011834857452785664,['https://gol.stores.jp/items/5ac814ed50bbc34ebd001661'],"['https://pbs.twimg.com/media/DgrCbnwUEAAXUsp.jpg', 'https://pbs.twimg.com/media/DgrCbTDUYAAP1De.jpg', 'https://pbs.twimg.com/media/DgrCbRgVMAAysyk.jpg', 'https://pbs.twimg.com/media/DgrCbQ-UcAEEHXJ.jpg']",1,https://pbs.twimg.com/media/DgrCbnwUEAAXUsp.jpg,False,7,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1011559336659726336,1011559336659726336,1530009514000.0,2018-06-26 03:38:34,-0800,,夏の主役アイテム・ベーシックドライシャツ、今年はなんと9色展開！ スタンダードな色からネオンカラーまで幅広く揃っています！ 好きな選手のいるチームカラーを選ぶなんてことも！ あなたは何色を選びますか？  https://t.co/bqpdRcFAJ9 #ドライシャツ #速乾素材 #吸水性抜群 #worldcup #color  https://t.co/QcgUW3yltL,ja,"['ドライシャツ', '速乾素材', '吸水性抜群', 'worldcup', 'color']",[],492305858,492305858,gol_deportes,gol.＜ゴル＞,2,03,https://twitter.com/gol_deportes/status/1011559336659726336,['https://gol.stores.jp/items/5ac87a39122a7d3ea90001ee'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1011559212416040960/pu/img/2aX4fEob6XN4bGyW.jpg,False,6,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
