,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1018278205566795777,1018278205566795777,1531611417000.0,2018-07-14 16:36:57,-0800,,Thank you guys!! What an amazing campaign. #wearebelgium #belgianreddevils #bronze #worldcup2018 #belgium #reddevils #readytofight #support #lukaku #mertens #hazard #debruyne #bkk #bangkok #thailand #wordpress #webdesigner #webdesign #freelancer #digitalmarketing  https://t.co/K77kbAPImh,en,"['wearebelgium', 'belgianreddevils', 'bronze', 'worldcup2018', 'belgium', 'reddevils', 'readytofight', 'support', 'lukaku', 'mertens', 'hazard', 'debruyne', 'bkk', 'bangkok', 'thailand', 'wordpress', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing']",[],1166519936,1166519936,louisgenelli,Louis Genelli,6,16,https://twitter.com/louisgenelli/status/1018278205566795777,[],"['https://pbs.twimg.com/media/DiGmmX3UEAES9D7.jpg', 'https://pbs.twimg.com/media/DiGmnulUYAAgMUk.jpg']",1,https://pbs.twimg.com/media/DiGmmX3UEAES9D7.jpg,False,3,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1016587591657799680,1016587591657799680,1531208343000.0,2018-07-10 00:39:03,-0800,,#teamgenelli #worldcup2018 #belgium #reddevils #readytofight #support #lukaku #mertens #hazard #debruyne #bkk #bangkok #thailand #wordpress #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices #corevalues  https://t.co/FUO26njY0u,und,"['teamgenelli', 'worldcup2018', 'belgium', 'reddevils', 'readytofight', 'support', 'lukaku', 'mertens', 'hazard', 'debruyne', 'bkk', 'bangkok', 'thailand', 'wordpress', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices', 'corevalues']",[],1166519936,1166519936,louisgenelli,Louis Genelli,2,00,https://twitter.com/louisgenelli/status/1016587591657799680,[],['https://pbs.twimg.com/media/DhulBHtUYAAOvDx.jpg'],1,https://pbs.twimg.com/media/DhulBHtUYAAOvDx.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1015326618745573376,1015326618745573376,1530907704000.0,2018-07-06 13:08:24,-0800,,#WeareBelgium #Matchday #WorldCup2018 #belgium #BELBRA  #reddevils #readytofight #support #lukaku #mertens #hazard #debruyne #bkk #bangkok #thailand #wordpress #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices  https://t.co/rYfuxI9X10,und,"['wearebelgium', 'matchday', 'worldcup2018', 'belgium', 'belbra', 'reddevils', 'readytofight', 'support', 'lukaku', 'mertens', 'hazard', 'debruyne', 'bkk', 'bangkok', 'thailand', 'wordpress', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices']",[],1166519936,1166519936,louisgenelli,Louis Genelli,5,13,https://twitter.com/louisgenelli/status/1015326618745573376,[],['https://pbs.twimg.com/media/DhcqK9pUwAASC1H.jpg'],1,https://pbs.twimg.com/media/DhcqK9pUwAASC1H.jpg,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1015178506584580096,1015178506584580096,1530872391000.0,2018-07-06 03:19:51,-0800,,#Matchday #WorldCup2018 #belgium #BELBRA  #reddevils #readytofight #support #lukaku #mertens #hazard #debruyne #bkk #bangkok #thailand #wordpress #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices  https://t.co/OmmXWnxG9M,und,"['matchday', 'worldcup2018', 'belgium', 'belbra', 'reddevils', 'readytofight', 'support', 'lukaku', 'mertens', 'hazard', 'debruyne', 'bkk', 'bangkok', 'thailand', 'wordpress', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices']",[],1166519936,1166519936,louisgenelli,Louis Genelli,5,03,https://twitter.com/louisgenelli/status/1015178506584580096,[],['https://pbs.twimg.com/media/DhajdwjU8AALGzJ.jpg'],1,https://pbs.twimg.com/media/DhajdwjU8AALGzJ.jpg,False,1,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1013819050328281088,1013819050328281088,1530548272000.0,2018-07-02 09:17:52,-0800,"{'type': 'Point', 'coordinates': [13.7522, 100.494]}",#teamgenelli #27 #genelli #worldcup2018 #belgium #reddevils #readytofight #support #wearebelgium #bkk #bangkok #thailand #thai_ig #thaistagram #webdesigner #webdesign #freelancer…  https://t.co/eFAu5BCpO7,und,"['teamgenelli', 'genelli', 'worldcup2018', 'belgium', 'reddevils', 'readytofight', 'support', 'wearebelgium', 'bkk', 'bangkok', 'thailand', 'thai_ig', 'thaistagram', 'webdesigner', 'webdesign', 'freelancer']",[],1166519936,1166519936,louisgenelli,Louis Genelli,1,09,https://twitter.com/louisgenelli/status/1013819050328281088,['https://www.instagram.com/p/BkvFYmZHgZE/?utm_source=ig_twitter_share&igshid=1n1h613j9qpdb'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1012412706282881024,1012412706282881024,1530212973000.0,2018-06-28 12:09:33,-0800,,#Gooooooaaalllll #worldcup2018 #belgium #reddevils #readytofight #support #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices #corevalues #bangkok #bkk  https://t.co/LHmAP3j8C2,und,"['gooooooaaalllll', 'worldcup2018', 'belgium', 'reddevils', 'readytofight', 'support', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices', 'corevalues', 'bangkok', 'bkk']",[],1166519936,1166519936,louisgenelli,Louis Genelli,4,12,https://twitter.com/louisgenelli/status/1012412706282881024,[],['https://pbs.twimg.com/media/DgzP-vsUYAAUGqh.jpg'],1,https://pbs.twimg.com/media/DgzP-vsUYAAUGqh.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1012156151373238272,1012156151373238272,1530151806000.0,2018-06-27 19:10:06,-0800,,#worldcup2018 #Shocking #germany #out #belgium #reddevils #readytofight #support #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices #corevalues #bangkok #bkk #Thailand  https://t.co/RZzIHGEBIh,und,"['worldcup2018', 'shocking', 'germany', 'out', 'belgium', 'reddevils', 'readytofight', 'support', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices', 'corevalues', 'bangkok', 'bkk', 'thailand']",[],1166519936,1166519936,louisgenelli,Louis Genelli,3,19,https://twitter.com/louisgenelli/status/1012156151373238272,[],['https://pbs.twimg.com/media/DgvmpfcVAAAU-ui.jpg'],1,https://pbs.twimg.com/media/DgvmpfcVAAAU-ui.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1010496692779507712,1010496692779507712,1529756160000.0,2018-06-23 05:16:00,-0800,,2-0 #belgium #WorldCup2018,und,"['belgium', 'worldcup2018']",[],1166519936,1166519936,louisgenelli,Louis Genelli,6,05,https://twitter.com/louisgenelli/status/1010496692779507712,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1010487439419297792,1010487439419297792,1529753954000.0,2018-06-23 04:39:14,-0800,,Ready for #worldcup2018 #belgium #reddevils #readytofight #support #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #creativeservices #corevalues #bangkok #bkk #thai_ig #thaistagram #thailand #belgium  https://t.co/ycKQkR8gM3,en,"['worldcup2018', 'belgium', 'reddevils', 'readytofight', 'support', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'creativeservices', 'corevalues', 'bangkok', 'bkk', 'thai_ig', 'thaistagram', 'thailand', 'belgium']",[],1166519936,1166519936,louisgenelli,Louis Genelli,6,04,https://twitter.com/louisgenelli/status/1010487439419297792,[],['https://pbs.twimg.com/media/DgX49TjV4AAkP5E.jpg'],1,https://pbs.twimg.com/media/DgX49TjV4AAkP5E.jpg,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1010207904572440576,1010207904572440576,1529687307000.0,2018-06-22 10:08:27,-0800,,#worldcup2018 #WordPress #webdesigner #webdesign #freelancer #digitalmarketing #newweb #development #louisgenelli #bangkok #Thailand #onlinemarketing  #seo #traffic #website #boost #rank #better #google   https://t.co/VDYdh1nRfw,und,"['worldcup2018', 'wordpress', 'webdesigner', 'webdesign', 'freelancer', 'digitalmarketing', 'newweb', 'development', 'louisgenelli', 'bangkok', 'thailand', 'onlinemarketing', 'seo', 'traffic', 'website', 'boost', 'rank', 'better', 'google']",[],1166519936,1166519936,louisgenelli,Louis Genelli,5,10,https://twitter.com/louisgenelli/status/1010207904572440576,['https://louisgenelli.ltd/worldcup-2018-football-boost-website/'],[],0,,False,0,0,1,,worldcup OR worldcup2018,,,,,,,[],,,,
