,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1085684218779189248,1085684218779189248,1547682263000.0,2019-01-16 15:44:23,-0800,,Fuck Gary Bettman's dream of having a #WorldCup of hockey in 2020. If he wouldn't allow NHL players to play in the Olympics then this is what he fucking deserves.,en,['worldcup'],[],182641625,182641625,thechadrsmith,Chad R. Smith,3,15,https://twitter.com/thechadrsmith/status/1085684218779189248,[],[],0,,False,1,1,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1018279517012443136,1018277023456940032,1531611730000.0,2018-07-14 16:42:10,-0800,,@RogersHelps I tried exchanging the batteries. And there are no stores open until late Sunday morning. So glad I invested a month in watching the #WorldCup just so I can miss the finals. And I guess I'll have to miss the movie I was planning to watch tonight. Maybe time to cut the cord.,en,['worldcup'],[],182641625,182641625,thechadrsmith,Chad R. Smith,6,16,https://twitter.com/thechadrsmith/status/1018279517012443136,[],[],0,,False,1,1,1,,worldcup OR worldcup2018,,,,,,,"[{'screen_name': 'RogersHelps', 'name': 'RogersHelps', 'id': '31442511'}]",,,,
2,1017143306965250048,1017143306965250048,1531340836000.0,2018-07-11 13:27:16,-0800,,Not gonna lie: I'm delighted that England's #WorldCup drought will remain longer than the #Leafs Stanley Cup drought. #ENG #CRO #TmlTalk,en,"['worldcup', 'leafs', 'eng', 'cro', 'tmltalk']",[],182641625,182641625,thechadrsmith,Chad R. Smith,3,13,https://twitter.com/thechadrsmith/status/1017143306965250048,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1017141999567163392,1017141999567163392,1531340524000.0,2018-07-11 13:22:04,-0800,,Predictably #ENG chokes. 2-1 #CRO #WorldCup,en,"['eng', 'cro', 'worldcup']",[],182641625,182641625,thechadrsmith,Chad R. Smith,3,13,https://twitter.com/thechadrsmith/status/1017141999567163392,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1013152598277251072,1013152598277251072,1530389377000.0,2018-06-30 13:09:37,-0800,,I just accidentally kicked myself in the nuts. But I was watching the #WorldCup so I'm classifying it as a sports related injury.,en,['worldcup'],[],182641625,182641625,thechadrsmith,Chad R. Smith,6,13,https://twitter.com/thechadrsmith/status/1013152598277251072,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1013149481561444353,1013149481561444353,1530388634000.0,2018-06-30 12:57:14,-0800,,Don't understand the debate about whether Messi or Ronaldo is the #GOAT. Unless either one's ID happens to say Pelé it's neither of them. And now they're both eliminated in the #WorldCup .,en,"['goat', 'worldcup']",[],182641625,182641625,thechadrsmith,Chad R. Smith,6,12,https://twitter.com/thechadrsmith/status/1013149481561444353,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1010877014658580480,1010877014658580480,1529846836000.0,2018-06-24 06:27:16,-0800,,#PAN may have lost their dignity but at least they'll always have their canal. And that cool #VanHalen song. #WorldCup,en,"['pan', 'vanhalen', 'worldcup']",[],182641625,182641625,thechadrsmith,Chad R. Smith,7,06,https://twitter.com/thechadrsmith/status/1010877014658580480,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1010875710079041537,1010875710079041537,1529846525000.0,2018-06-24 06:22:05,-0800,,6-0 #ENG in a #WorldCup game. Wow. That's just gonna twist the knife even deeper on their fans when they inevitably choke later on the tournament. They'll still be lucky to make the semifinals.,en,"['eng', 'worldcup']",[],182641625,182641625,thechadrsmith,Chad R. Smith,7,06,https://twitter.com/thechadrsmith/status/1010875710079041537,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1010592013064867840,1010592013064867840,1529778886000.0,2018-06-23 11:34:46,-0800,,Looks like #GER is about to say Auf Wiedersehen at the #WorldCup!! 1-0 #SWE.,en,"['ger', 'worldcup', 'swe']",[],182641625,182641625,thechadrsmith,Chad R. Smith,6,11,https://twitter.com/thechadrsmith/status/1010592013064867840,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1008401378094403584,1008401378094403584,1529256598000.0,2018-06-17 10:29:58,-0800,,Congrats to #MEX for beating those dirty #GER. #WorldCup #MexicoVsAlemania,en,"['mex', 'ger', 'worldcup', 'mexicovsalemania']",[],182641625,182641625,thechadrsmith,Chad R. Smith,7,10,https://twitter.com/thechadrsmith/status/1008401378094403584,[],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
