,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1144722020703395841,1144722020703395841,1561757972000.0,2019-06-28 14:39:32,-0800,,"Beautiful from every angle throughout the #city.  #weekendpilgrim #eiffeltower #paris #france🇫🇷 #worldcup #view #zoom #travel #weekend #excursion #traveljournalist #travellighttraveloften @ Paris, France  https://t.co/FxhzwWKHyP",en,"['city', 'weekendpilgrim', 'eiffeltower', 'paris', 'france', 'worldcup', 'view', 'zoom', 'travel', 'weekend', 'excursion', 'traveljournalist', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,5,14,https://twitter.com/weekendpilgrim/status/1144722020703395841,['https://www.instagram.com/p/BzRNKmvhEKq/?igshid=1azsn9bz9dr7u'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1144721129350860801,1144721129350860801,1561757759000.0,2019-06-28 14:35:59,-0800,,Name the #Art! Fine reminders at the #louvre!  #weekendpilgrim #paris #france #gallery #travel #friday #question #whatdidhedo #weekend #headfirst #worldcup #getaway #travellighttraveloften @ Musée du Louvre  https://t.co/t7MIXbBnwN,fr,"['art', 'louvre', 'weekendpilgrim', 'paris', 'france', 'gallery', 'travel', 'friday', 'question', 'whatdidhedo', 'weekend', 'headfirst', 'worldcup', 'getaway', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,5,14,https://twitter.com/weekendpilgrim/status/1144721129350860801,['https://www.instagram.com/p/BzRMwILBdhO/?igshid=xcxhe34lppvz'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1144035494529044482,1144035494529044482,1561594291000.0,2019-06-26 17:11:31,-0800,,"#gargoyle watching in #paris.  #weekendpilgrim #night #france #travel #worldcup #dusk #pm #travel #statue #city #view #travellighttraveloften @ Paris, France  https://t.co/kDlVXUtm3d",en,"['gargoyle', 'paris', 'weekendpilgrim', 'night', 'france', 'travel', 'worldcup', 'dusk', 'pm', 'travel', 'statue', 'city', 'view', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,3,17,https://twitter.com/weekendpilgrim/status/1144035494529044482,['https://www.instagram.com/p/BzMU-AaBIhC/?igshid=1rio2knuu3kxs'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1142039704314925056,1142039704314925056,1561118458000.0,2019-06-21 05:00:58,-0800,,"Happy #friday from the ""City of Love.""  #weekendpilgrim #paris #blog #weekend #travel #worldcup #getaway #explore #seine #traveljournalist #photo #france #travellighttraveloften @ Paris, France  https://t.co/M0XtNoh0Rm",en,"['friday', 'weekendpilgrim', 'paris', 'blog', 'weekend', 'travel', 'worldcup', 'getaway', 'explore', 'seine', 'traveljournalist', 'photo', 'france', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,5,05,https://twitter.com/weekendpilgrim/status/1142039704314925056,['https://www.instagram.com/p/By-JY9ohrAw/?igshid=1rwucaugm2a4'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1141841153244819456,1141841153244819456,1561071119000.0,2019-06-20 15:51:59,-0800,,"The #worldcup is here! Wine, dine, futbol!   #weekendpilgrim #paris #montmartre #france #tourist #soccer #view #destinations #travel #sports #europe #trip #live #traveljournalist @ Montremarte, Paris  https://t.co/WhUJJAS5zr",en,"['worldcup', 'weekendpilgrim', 'paris', 'montmartre', 'france', 'tourist', 'soccer', 'view', 'destinations', 'travel', 'sports', 'europe', 'trip', 'live', 'traveljournalist']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,4,15,https://twitter.com/weekendpilgrim/status/1141841153244819456,['https://www.instagram.com/p/By8vGSbB72f/?igshid=1k21yapyl8ohm'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1018827617519140864,1018827617519140864,1531742407000.0,2018-07-16 05:00:07,-0800,,Great time for #france ! Congrats on the big #worldcup win.  #weekendpilgrim #france🇫🇷 #paris #montmartre #historic #travel #mountaintop #sanctuary #travelphotography #landmark #legacy…  https://t.co/ro2ulATkCE,en,"['france', 'worldcup', 'weekendpilgrim', 'france', 'paris', 'montmartre', 'historic', 'travel', 'mountaintop', 'sanctuary', 'travelphotography', 'landmark', 'legacy']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,1,05,https://twitter.com/weekendpilgrim/status/1018827617519140864,['https://www.instagram.com/p/BlSrA2aA9Sv/?utm_source=ig_twitter_share&igshid=lu6ybfiam73q'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1018268577642708992,1018268577642708992,1531609122000.0,2018-07-14 15:58:42,-0800,,"France, je t'aime !  #weekendpilgrim #chateau #chantilly #travel #sightseeing #vaca #france #europe #worldcup #weekend #saturday #sunday #travelblogger #travellighttraveloften @ Chateau de…  https://t.co/ighERhXZ0j",fr,"['weekendpilgrim', 'chateau', 'chantilly', 'travel', 'sightseeing', 'vaca', 'france', 'europe', 'worldcup', 'weekend', 'saturday', 'sunday', 'travelblogger', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,6,15,https://twitter.com/weekendpilgrim/status/1018268577642708992,['https://www.instagram.com/p/BlOsy0eA72x/?utm_source=ig_twitter_share&igshid=h39fep14h4v0'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1017736210847092737,1017736210847092737,1531482195000.0,2018-07-13 04:43:15,-0800,,"Back to #paris ! #worldcup , here we come!  #weekendpilgrim #weekend #friday #bridge #france #travel #travelandleisure #worldcup2018 #futbol #soccer #fan #europe #global #jetset…  https://t.co/xZZg1iBqLL",en,"['paris', 'worldcup', 'weekendpilgrim', 'weekend', 'friday', 'bridge', 'france', 'travel', 'travelandleisure', 'worldcup2018', 'futbol', 'soccer', 'fan', 'europe', 'global', 'jetset']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,5,04,https://twitter.com/weekendpilgrim/status/1017736210847092737,['https://www.instagram.com/p/BlK6stIA0MY/?utm_source=ig_twitter_share&igshid=1dzpsklonoal5'],[],0,,False,1,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1012303238626992129,1012303238626992129,1530186874000.0,2018-06-28 04:54:34,-0800,,Take 'em to #church !  #weekendpilgrim #cathedral #russia #worldcup #moscow #travel #tourism #cityscape #gold #travelphotography #vacation #travellighttraveloften @ Cathedral of the…  https://t.co/75PJd7TaBF,en,"['church', 'weekendpilgrim', 'cathedral', 'russia', 'worldcup', 'moscow', 'travel', 'tourism', 'cityscape', 'gold', 'travelphotography', 'vacation', 'travellighttraveloften']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,4,04,https://twitter.com/weekendpilgrim/status/1012303238626992129,['https://www.instagram.com/p/BkkTzykAYh2/?utm_source=ig_twitter_share&igshid=zaqi4pohzy5f'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1011794119629340677,1011794119629340677,1530065491000.0,2018-06-26 19:11:31,-0800,,Standing in the sun too long...  #weekendpilgrim #russia #saintpetersburg #peterhof #sanktpeterburg #palace #gold #bronze #worldcup #travel #holiday #allgoldeverything #whattimeisit…  https://t.co/eLcFrgmaXJ,en,"['weekendpilgrim', 'russia', 'saintpetersburg', 'peterhof', 'sanktpeterburg', 'palace', 'gold', 'bronze', 'worldcup', 'travel', 'holiday', 'allgoldeverything', 'whattimeisit']",[],3398913291,3398913291,weekendpilgrim,Weekend Pilgrim,2,19,https://twitter.com/weekendpilgrim/status/1011794119629340677,['https://www.instagram.com/p/BkgsiKGA_xk/?utm_source=ig_twitter_share&igshid=1gymrnzu7hia9'],[],0,,False,0,0,0,,worldcup OR worldcup2018,,,,,,,[],,,,
