,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1279194539681513474,1279194539681513474,1593818719000.0,2020-07-03 16:25:19,-0800,,🌍ワールド🌍  アジア選手のW杯ベストゴール候補に、遠藤保仁と本田圭佑がノミネート！「スローモーションのように…」  👉  https://t.co/kxNUZmPFHC  #KeisukeHonda #Worldcup #YasuhitoEndo  https://t.co/vZW50J6ejz,ja,"['keisukehonda', 'worldcup', 'yasuhitoendo']",[],135527624,135527624,weeklysd,サッカーダイジェスト,5,16,https://twitter.com/weeklysd/status/1279194539681513474,['https://www.soccerdigestweb.com/news/detail/id=75742'],['https://pbs.twimg.com/media/EcCcp6QWkAA8Gb6.jpg'],1,https://pbs.twimg.com/media/EcCcp6QWkAA8Gb6.jpg,False,55,0,10,,worldcup OR worldcup2018,,,,,,,[],,,,
1,1257408668271771649,1257408668271771649,1588624562000.0,2020-05-04 13:36:02,-0800,,🇯🇵日本代表🇯🇵  「彼らは我々のハートを盗んだ」FIFAが日本のW杯“名勝負”をリバイバル！ 世界のファンが絶賛した一戦とは？  👉  https://t.co/gbjGxXDbhm  #Worldcup #FIFA #WORLDCUPATHOME  https://t.co/XCQh2uTuKQ,ja,"['worldcup', 'fifa', 'worldcupathome']",[],135527624,135527624,weeklysd,サッカーダイジェスト,1,13,https://twitter.com/weeklysd/status/1257408668271771649,['https://www.soccerdigestweb.com/news/detail/id=72757'],['https://pbs.twimg.com/media/EXM2hSiXgAA55kf.jpg'],1,https://pbs.twimg.com/media/EXM2hSiXgAA55kf.jpg,False,22,0,7,,worldcup OR worldcup2018,,,,,,,[],,,,
2,1257245748435001344,1257245748435001344,1588585719000.0,2020-05-04 02:48:39,-0800,,🌍ワールドカップ🌍  「俺は謝った」「頭突きされると分かっていたら…」マテラッツィが“ジダンの頭突き事件”の真相を告白！  👉 https://t.co/9GQpXKroai  #ITA #FRA #WorldCup  https://t.co/YtWy5c1dQN,ja,"['ita', 'fra', 'worldcup']",[],135527624,135527624,weeklysd,サッカーダイジェスト,1,02,https://twitter.com/weeklysd/status/1257245748435001344,['https://www.soccerdigestweb.com/news/detail/id=72740'],['https://pbs.twimg.com/media/EXKiWIIWAAAVR26.jpg'],1,https://pbs.twimg.com/media/EXKiWIIWAAAVR26.jpg,False,8,1,4,,worldcup OR worldcup2018,,,,,,,[],,,,
3,1254872959858151424,1254872959858151424,1588020002000.0,2020-04-27 13:40:02,-0800,,🌸なでしこジャパン🌸  「ホマレ・サワは、希望そのものだった」英紙記者が、2011年W杯決勝のなでしこジャパンを回顧！  👉  https://t.co/JBNito723Z  #Worldcup #Nadeshiko #澤穂希  https://t.co/mTwuam03OY,ja,"['worldcup', 'nadeshiko', '澤穂希']",[],135527624,135527624,weeklysd,サッカーダイジェスト,1,13,https://twitter.com/weeklysd/status/1254872959858151424,['https://www.soccerdigestweb.com/news/detail/id=72371'],['https://pbs.twimg.com/media/EWo0TpoXQAA1MY2.jpg'],1,https://pbs.twimg.com/media/EWo0TpoXQAA1MY2.jpg,False,82,0,18,,worldcup OR worldcup2018,,,,,,,[],,,,
4,1252360653358067713,1252360653358067713,1587421022000.0,2020-04-20 15:17:02,-0800,,🌎海外サッカー🌍  「彼の姉妹について暴言は言った。けど俺は…」マテラッツィがジダンの“頭突き事件”の舞台裏を告白！  👉 https://t.co/HJCw2XvhTs  #ITA #FRA #WorldCup  https://t.co/QRZu2FkfdC,ja,"['ita', 'fra', 'worldcup']",[],135527624,135527624,weeklysd,サッカーダイジェスト,1,15,https://twitter.com/weeklysd/status/1252360653358067713,['https://www.soccerdigestweb.com/news/detail/id=72002'],['https://pbs.twimg.com/media/EWFHYJbUwAA2h7-.jpg'],1,https://pbs.twimg.com/media/EWFHYJbUwAA2h7-.jpg,False,6,0,5,,worldcup OR worldcup2018,,,,,,,[],,,,
5,1184754736089698304,1184754736089698304,1571302515000.0,2019-10-17 01:55:15,-0800,,🌍ワールド🌍  「無傷で終われて良かった…」謎に包まれた29年ぶりの“南北対決”を韓国FWソン・フンミンが語る！  👉 https://t.co/oRTmaL15Vl  #WC2022 #WorldCup #北朝鮮 #韓国  https://t.co/0YRm3Tq4t9,ja,"['wc2022', 'worldcup', '北朝鮮', '韓国']",[],135527624,135527624,weeklysd,サッカーダイジェスト,4,01,https://twitter.com/weeklysd/status/1184754736089698304,['https://www.soccerdigestweb.com/news/detail/id=65446'],['https://pbs.twimg.com/media/EHEYJ2rXYAAcIQG.jpg'],1,https://pbs.twimg.com/media/EHEYJ2rXYAAcIQG.jpg,False,21,0,2,,worldcup OR worldcup2018,,,,,,,[],,,,
6,1184062860445528064,1184062860445528064,1571137559000.0,2019-10-15 04:05:59,-0800,,🌐W杯アジア２次予選🌐  29年ぶりの平壌開催となった南北対決！韓国が最後まで北朝鮮の堅守を崩しきれずスコアレスドロー  👉 https://t.co/gqQUmfJcqc  #ワールドカップ #WorldCup  https://t.co/vQntXpTMCi,ja,"['ワールドカップ', 'worldcup']",[],135527624,135527624,weeklysd,サッカーダイジェスト,2,04,https://twitter.com/weeklysd/status/1184062860445528064,['https://www.soccerdigestweb.com/news/detail/id=65350'],['https://pbs.twimg.com/media/EG6i5Y6XUAIC2vn.jpg'],1,https://pbs.twimg.com/media/EG6i5Y6XUAIC2vn.jpg,False,10,0,10,,worldcup OR worldcup2018,,,,,,,[],,,,
7,1131119086635757568,1131119086635757568,1558514780000.0,2019-05-22 01:46:20,-0800,,【セルジオ越後】久保建英らが不在のＵ-20Ｗ杯。仮に日本が結果を残せなければ…  https://t.co/syisF8EvRd … #U20 #W杯 #WorldCup #日本代表 #サッカー  https://t.co/1j8q0A7E6i,ja,"['u20', 'w杯', 'worldcup', '日本代表', 'サッカー']",[],135527624,135527624,weeklysd,サッカーダイジェスト,3,01,https://twitter.com/weeklysd/status/1131119086635757568,['https://www.soccerdigestweb.com/news/detail/id=58930'],"['https://pbs.twimg.com/media/D7KK0KvXYAALJPY.jpg', 'https://pbs.twimg.com/media/D7KK0LKWkAIlWGI.jpg', 'https://pbs.twimg.com/media/D7KK0KbWsAADADr.jpg']",1,https://pbs.twimg.com/media/D7KK0KvXYAALJPY.jpg,False,30,1,11,,worldcup OR worldcup2018,,,,,,,[],,,,
8,1131118668866306049,1131118668866306049,1558514680000.0,2019-05-22 01:44:40,-0800,,【Ｕ－20日本代表｜選手名鑑】Ｕ－20Ｗ杯に臨むメンバー21名の顔写真と詳細情報をチェック！  https://t.co/Ajl5liHAky #U20 #W杯 #WorldCup #日本代表 #サッカー  https://t.co/ZYNXylxRet,ja,"['u20', 'w杯', 'worldcup', '日本代表', 'サッカー']",[],135527624,135527624,weeklysd,サッカーダイジェスト,3,01,https://twitter.com/weeklysd/status/1131118668866306049,['https://www.soccerdigestweb.com/news/detail/id=58933'],['https://pbs.twimg.com/media/D7KKb2lX4AAyO4q.jpg'],1,https://pbs.twimg.com/media/D7KKb2lX4AAyO4q.jpg,False,53,0,23,,worldcup OR worldcup2018,,,,,,,[],,,,
9,1106295913117569024,1106295913117569024,1552596474000.0,2019-03-14 13:47:54,-0800,,カタールＷ杯の出場国枠が「48」になる？ 大手メディアがFIFA評議会の気になる“結論”を予測！ | サッカーダイジェストWeb  https://t.co/HIxVyZBxRC #FIFA #ワールドカップ #WorldCup #FIFA評議会 #48枠 #W杯 #カタールワールドカップ #W杯予選 #W杯出場枠 #サッカー好きな人RT  https://t.co/RbweugNiQu,ja,"['fifa', 'ワールドカップ', 'worldcup', 'fifa評議会', '48枠', 'w杯', 'カタールワールドカップ', 'w杯予選', 'w杯出場枠', 'サッカー好きな人rt']",[],135527624,135527624,weeklysd,サッカーダイジェスト,4,13,https://twitter.com/weeklysd/status/1106295913117569024,['https://www.soccerdigestweb.com/news/detail/id=55568'],['https://pbs.twimg.com/media/D1paRS8WwAE0wSU.jpg'],1,https://pbs.twimg.com/media/D1paRS8WwAE0wSU.jpg,False,8,0,6,,worldcup OR worldcup2018,,,,,,,[],,,,
